tick,TotalHumans,Susceptible,Exposed,Infected,Recovered,New Cases per day
1,100000,99998,0,2,0,0
2,100000,99942,56,2,0,0
3,100000,99904,94,2,0,0
4,100000,99864,134,2,0,0
5,100000,99833,165,2,0,0
6,100000,99802,140,58,0,56
7,100000,99765,139,96,0,38
8,100000,99736,128,134,2,40
9,100000,99708,125,165,2,31
10,100000,99673,129,196,2,31
11,100000,99635,130,233,2,37
12,100000,99600,136,262,2,29
13,100000,99576,132,234,58,28
14,100000,99550,123,231,96,35
15,100000,99530,105,229,136,38
16,100000,99500,100,233,167,35
17,100000,99471,105,226,198,24
18,100000,99445,105,215,235,26
19,100000,99414,116,206,264,20
20,100000,99372,128,208,292,30
21,100000,99343,128,202,327,29
22,100000,99301,144,190,365,26
23,100000,99265,149,186,400,31
24,100000,99230,142,204,424,42
25,100000,99196,147,207,450,29
26,100000,99161,140,229,470,42
27,100000,99134,131,235,500,36
28,100000,99106,124,241,529,35
29,100000,99072,124,249,555,34
30,100000,99038,123,253,586,35
31,100000,99002,132,238,628,27
32,100000,98973,133,237,657,28
33,100000,98944,128,229,699,34
34,100000,98909,129,227,735,34
35,100000,98875,127,228,770,36
36,100000,98836,137,223,804,29
37,100000,98798,146,217,839,29
38,100000,98767,142,225,866,35
39,100000,98732,143,231,894,34
40,100000,98704,132,236,928,39
41,100000,98669,129,240,962,38
42,100000,98640,127,235,998,31
43,100000,98613,119,241,1027,35
44,100000,98589,115,240,1056,28
45,100000,98549,120,240,1091,35
46,100000,98509,131,235,1125,29
47,100000,98483,130,223,1164,27
48,100000,98450,139,209,1202,24
49,100000,98412,137,218,1233,40
50,100000,98376,133,223,1268,40
51,100000,98342,141,221,1296,26
52,100000,98317,133,219,1331,33
53,100000,98289,123,228,1360,38
54,100000,98257,119,237,1387,36
55,100000,98219,123,247,1411,34
56,100000,98188,129,232,1451,25
57,100000,98157,132,220,1491,28
58,100000,98117,140,226,1517,32
59,100000,98082,137,231,1550,38
60,100000,98052,136,224,1588,31
61,100000,98022,135,219,1624,31
62,100000,97997,120,225,1658,40
63,100000,97969,113,235,1683,35
64,100000,97935,117,237,1711,30
65,100000,97899,123,235,1743,30
66,100000,97864,133,222,1781,25
67,100000,97836,133,219,1812,28
68,100000,97804,131,222,1843,34
69,100000,97772,127,218,1883,36
70,100000,97740,124,218,1918,35
71,100000,97705,131,216,1948,28
72,100000,97686,118,218,1978,32
73,100000,97662,110,225,2003,32
