tick,TotalHumans,Susceptible,Exposed,Infected,Recovered,New Cases per day
1,100000,99998,0,2,0,0
2,100000,99940,58,2,0,0
3,100000,99894,104,2,0,0
4,100000,99861,137,2,0,0
5,100000,99832,166,2,0,0
6,100000,99795,145,60,0,58
7,100000,99774,120,106,0,46
8,100000,99743,118,137,2,33
9,100000,99703,129,166,2,29
10,100000,99670,125,203,2,37
11,100000,99635,139,224,2,21
12,100000,99604,139,255,2,31
13,100000,99580,123,237,60,40
14,100000,99547,123,224,106,33
15,100000,99515,120,226,139,35
16,100000,99478,126,228,168,31
17,100000,99442,138,215,205,24
18,100000,99400,147,227,226,33
19,100000,99362,153,228,257,32
20,100000,99320,158,225,297,37
21,100000,99285,157,228,330,36
22,100000,99250,150,235,365,42
23,100000,99224,138,242,396,38
24,100000,99198,122,260,420,42
25,100000,99165,120,262,453,35
26,100000,99133,117,265,485,35
27,100000,99103,121,254,522,26
28,100000,99064,134,244,558,26
29,100000,99044,121,235,600,33
30,100000,99013,120,229,638,32
31,100000,98986,117,217,680,30
32,100000,98962,102,221,715,39
33,100000,98919,125,206,750,20
34,100000,98887,126,211,776,31
35,100000,98855,131,212,802,27
36,100000,98830,132,203,835,24
37,100000,98802,117,214,867,43
38,100000,98767,120,216,897,32
39,100000,98732,123,209,936,32
40,100000,98701,129,214,956,25
41,100000,98671,131,211,987,28
42,100000,98639,128,219,1014,35
43,100000,98610,122,230,1038,35
44,100000,98578,123,218,1081,31
45,100000,98546,125,216,1113,30
46,100000,98513,126,216,1145,32
47,100000,98486,124,220,1170,29
48,100000,98463,115,224,1198,32
49,100000,98434,112,221,1233,32
50,100000,98401,112,219,1268,33
51,100000,98368,118,215,1299,27
52,100000,98338,125,208,1329,23
53,100000,98306,128,205,1361,29
54,100000,98269,132,209,1390,33
55,100000,98240,128,210,1422,33
56,100000,98212,126,208,1454,30
57,100000,98169,137,207,1487,32
58,100000,98144,125,217,1514,37
59,100000,98109,131,223,1537,29
60,100000,98070,142,222,1566,28
61,100000,98044,125,232,1599,43
62,100000,98020,124,224,1632,25
63,100000,97990,119,229,1662,35
64,100000,97964,106,236,1694,39
65,100000,97936,108,225,1731,26
66,100000,97905,115,220,1760,24
67,100000,97879,111,222,1788,30
68,100000,97842,122,205,1831,26
69,100000,97812,124,208,1856,28
70,100000,97788,117,204,1891,31
71,100000,97759,120,191,1930,26
72,100000,97716,126,202,1956,37
73,100000,97689,123,208,1980,30
74,100000,97649,139,202,2010,24
75,100000,97621,138,205,2036,29
76,100000,97594,122,220,2064,43
77,100000,97567,122,216,2095,27
78,100000,97533,116,230,2121,40
79,100000,97508,113,221,2158,28
80,100000,97479,115,218,2188,27
81,100000,97447,120,221,2212,27
82,100000,97404,129,226,2241,34
83,100000,97374,134,208,2284,25
84,100000,97349,130,210,2311,29
85,100000,97315,132,202,2351,32
86,100000,97288,116,217,2379,43
87,100000,97261,113,220,2406,30
88,100000,97228,121,218,2433,25
89,100000,97197,118,218,2467,34
90,100000,97169,119,220,2492,27
91,100000,97141,120,218,2521,27
92,100000,97117,111,219,2553,33
93,100000,97086,111,207,2596,31
94,100000,97048,121,205,2626,28
95,100000,97017,124,208,2651,28
96,100000,96989,128,198,2685,24
97,100000,96962,124,202,2712,31
98,100000,96936,112,213,2739,38
99,100000,96900,117,211,2772,31
100,100000,96865,124,208,2803,28
101,100000,96831,131,207,2831,27
102,100000,96808,128,205,2859,26
103,100000,96786,114,217,2883,36
104,100000,96761,104,221,2914,35
105,100000,96731,100,217,2952,34
106,100000,96701,107,209,2983,23
107,100000,96671,115,203,3011,22
108,100000,96642,119,201,3038,25
109,100000,96609,122,205,3064,30
110,100000,96583,118,199,3100,30
111,100000,96554,117,194,3135,30
112,100000,96529,113,189,3169,29
113,100000,96490,119,199,3192,33
114,100000,96454,129,203,3214,26
115,100000,96421,133,207,3239,29
116,100000,96395,134,202,3269,25
117,100000,96369,121,211,3299,39
118,100000,96332,122,217,3329,36
119,100000,96315,106,221,3358,33
120,100000,96283,112,214,3391,26
121,100000,96252,117,214,3417,26
122,100000,96225,107,222,3446,37
123,100000,96198,117,214,3471,17
124,100000,96179,104,207,3510,32
125,100000,96143,109,202,3546,31
126,100000,96105,120,196,3579,27
127,100000,96074,124,197,3605,27
128,100000,96032,147,190,3631,19
129,100000,96006,137,189,3668,36
130,100000,95968,137,210,3685,38
131,100000,95933,141,209,3717,31
132,100000,95903,129,220,3748,42
133,100000,95873,133,219,3775,26
134,100000,95847,121,230,3802,38
135,100000,95817,116,246,3821,35
136,100000,95793,110,240,3857,30
137,100000,95762,111,232,3895,30
138,100000,95724,123,227,3926,26
139,100000,95686,131,215,3968,30
140,100000,95660,133,213,3994,24
141,100000,95631,131,206,4032,31
142,100000,95603,121,209,4067,38
143,100000,95578,108,217,4097,38
144,100000,95556,104,213,4127,26
145,100000,95531,100,216,4153,29
146,100000,95497,106,214,4183,28
147,100000,95460,118,215,4207,25
148,100000,95431,125,206,4238,22
149,100000,95401,130,193,4276,25
150,100000,95374,123,189,4314,34
151,100000,95349,111,200,4340,37
152,100000,95321,110,200,4369,29
153,100000,95288,113,202,4397,30
154,100000,95258,116,204,4422,27
155,100000,95240,109,207,4444,25
156,100000,95214,107,210,4469,28
157,100000,95175,113,209,4503,33
158,100000,95149,109,202,4540,30
159,100000,95119,121,191,4569,18
160,100000,95092,122,187,4599,26
161,100000,95058,117,199,4626,39
162,100000,95038,111,200,4651,26
163,100000,95008,111,202,4679,30
164,100000,94979,113,196,4712,27
165,100000,94951,107,200,4742,34
166,100000,94930,108,202,4760,20
167,100000,94906,102,206,4786,30
168,100000,94876,103,196,4825,29
169,100000,94852,99,198,4851,28
170,100000,94828,102,189,4881,21
171,100000,94796,110,186,4908,24
172,100000,94763,113,182,4942,30
173,100000,94746,106,186,4962,24
174,100000,94722,106,180,4992,24
175,100000,94705,91,183,5021,32
176,100000,94678,85,188,5049,33
177,100000,94645,101,184,5070,17
178,100000,94617,105,184,5094,24
179,100000,94600,105,171,5124,17
180,100000,94563,115,174,5148,27
181,100000,94531,114,183,5172,33
182,100000,94503,114,179,5204,28
183,100000,94478,122,163,5237,17
184,100000,94458,105,183,5254,37
185,100000,94433,98,191,5278,32
186,100000,94404,99,202,5295,28
187,100000,94382,96,200,5322,25
188,100000,94357,101,187,5355,20
189,100000,94334,99,184,5383,25
190,100000,94305,99,196,5400,29
191,100000,94289,93,181,5437,22
192,100000,94261,96,174,5469,25
193,100000,94228,106,169,5497,23
194,100000,94197,108,173,5522,29
195,100000,94172,117,169,5542,16
196,100000,94147,114,172,5567,28
197,100000,94123,105,176,5596,33
198,100000,94090,107,185,5618,31
199,100000,94067,105,185,5643,25
200,100000,94035,112,187,5666,25
201,100000,93994,129,182,5695,24
202,100000,93967,123,199,5711,33
203,100000,93939,128,194,5739,23
204,100000,93918,117,193,5772,32
205,100000,93887,107,203,5803,41
206,100000,93868,99,205,5828,27
207,100000,93846,93,208,5853,28
208,100000,93831,87,205,5877,21
209,100000,93802,85,203,5910,31
210,100000,93777,91,199,5933,19
211,100000,93748,98,189,5965,22
212,100000,93710,121,163,6006,15
213,100000,93687,115,165,6033,29
214,100000,93660,117,162,6061,25
215,100000,93629,119,170,6082,29
216,100000,93600,110,177,6113,38
217,100000,93568,119,181,6132,23
218,100000,93531,129,186,6154,27
219,100000,93497,132,202,6169,31
220,100000,93471,129,202,6198,29
221,100000,93443,125,209,6223,32
222,100000,93422,109,217,6252,37
223,100000,93400,97,213,6290,34
224,100000,93380,91,216,6313,26
225,100000,93361,82,217,6340,28
226,100000,93338,84,207,6371,21
227,100000,93311,89,200,6400,22
228,100000,93282,98,188,6432,20
229,100000,93267,94,170,6469,19
230,100000,93243,95,159,6503,23
231,100000,93218,93,160,6529,27
232,100000,93202,80,161,6557,29
233,100000,93176,91,155,6578,15
234,100000,93148,95,157,6600,24
235,100000,93114,104,162,6620,25
236,100000,93093,109,159,6639,16
237,100000,93073,103,162,6662,26
238,100000,93041,107,163,6689,28
239,100000,93016,98,168,6718,34
240,100000,92985,108,174,6733,21
241,100000,92949,124,170,6757,20
242,100000,92913,128,177,6782,32
243,100000,92887,129,186,6798,25
244,100000,92857,128,191,6824,31
245,100000,92837,112,199,6852,36
246,100000,92810,103,201,6886,36
247,100000,92784,103,206,6907,26
248,100000,92761,96,216,6927,30
249,100000,92725,112,204,6959,20
250,100000,92701,109,206,6984,27
251,100000,92676,108,201,7015,26
252,100000,92644,117,188,7051,23
253,100000,92613,112,188,7087,36
254,100000,92598,103,186,7113,24
255,100000,92577,99,181,7143,25
256,100000,92552,92,193,7163,32
257,100000,92530,83,197,7190,31
258,100000,92507,91,186,7216,15
259,100000,92487,90,184,7239,21
260,100000,92459,93,173,7275,25
261,100000,92435,95,171,7299,22
262,100000,92404,103,169,7324,23
263,100000,92370,117,157,7356,20
264,100000,92342,117,154,7387,28
265,100000,92317,118,163,7402,24
266,100000,92294,110,173,7423,31
267,100000,92261,109,182,7448,34
268,100000,92234,108,188,7470,28
269,100000,92212,105,190,7493,25
270,100000,92192,102,193,7513,23
271,100000,92164,97,198,7541,33
272,100000,92138,96,201,7565,27
273,100000,92112,100,192,7596,22
274,100000,92082,110,178,7630,20
275,100000,92055,109,178,7658,28
276,100000,92022,116,179,7683,26
277,100000,91996,116,182,7706,26
278,100000,91967,115,179,7739,30
279,100000,91942,113,179,7766,27
280,100000,91915,107,190,7788,33
281,100000,91891,105,196,7808,26
282,100000,91872,95,197,7836,29
283,100000,91845,97,196,7862,25
284,100000,91810,105,197,7888,27
285,100000,91785,106,191,7918,24
286,100000,91761,111,183,7945,19
287,100000,91735,110,177,7978,27
288,100000,91714,96,186,8004,35
289,100000,91690,95,182,8033,25
290,100000,91666,95,181,8058,24
291,100000,91644,91,180,8085,26
292,100000,91621,93,177,8109,21
293,100000,91600,90,182,8128,24
294,100000,91565,101,179,8155,24
295,100000,91533,111,166,8190,22
296,100000,91510,111,164,8215,23
297,100000,91479,121,161,8239,21
298,100000,91456,109,170,8265,35
299,100000,91438,95,181,8286,32
300,100000,91412,98,180,8310,23
301,100000,91386,93,187,8334,31
302,100000,91363,93,188,8356,23
303,100000,91343,95,183,8379,18
304,100000,91317,95,188,8400,26
305,100000,91292,94,179,8435,26
306,100000,91268,95,170,8467,23
307,100000,91247,96,167,8490,20
308,100000,91220,97,162,8521,26
309,100000,91195,97,164,8544,25
310,100000,91169,99,170,8562,24
311,100000,91140,107,165,8588,21
312,100000,91122,98,166,8614,27
313,100000,91101,94,168,8637,25
314,100000,91082,87,174,8657,26
315,100000,91051,89,177,8683,29
316,100000,91023,99,170,8708,18
317,100000,91001,100,167,8732,21
318,100000,90974,108,165,8753,19
319,100000,90957,94,169,8780,31
320,100000,90931,92,172,8805,28
321,100000,90913,88,168,8831,22
322,100000,90883,91,166,8860,27
323,100000,90858,99,165,8878,17
324,100000,90838,93,170,8899,26
325,100000,90816,97,169,8918,18
326,100000,90797,86,168,8949,30
327,100000,90771,87,165,8977,25
328,100000,90755,83,163,8999,20
329,100000,90737,79,158,9026,22
330,100000,90701,96,160,9043,19
331,100000,90675,96,160,9069,26
332,100000,90653,102,158,9087,16
