tick,TotalHumans,Susceptible,Exposed,Infected,Recovered,New Cases per day
1,100000,99998,0,2,0,0
2,100000,99939,59,2,0,0
3,100000,99898,100,2,0,0
4,100000,99856,142,2,0,0
5,100000,99827,171,2,0,0
6,100000,99792,147,61,0,59
7,100000,99766,132,102,0,41
8,100000,99735,121,142,2,42
9,100000,99704,123,171,2,29
10,100000,99674,118,206,2,35
11,100000,99638,128,232,2,26
12,100000,99615,120,263,2,31
13,100000,99574,130,235,61,31
14,100000,99547,127,224,102,30
15,100000,99522,116,218,144,36
16,100000,99488,127,212,173,23
17,100000,99449,125,218,208,41
18,100000,99407,140,219,234,27
19,100000,99374,148,213,265,25
20,100000,99326,162,216,296,34
21,100000,99299,150,225,326,39
22,100000,99277,130,231,362,42
23,100000,99249,125,241,385,33
24,100000,99220,106,248,426,48
25,100000,99194,105,248,453,27
26,100000,99154,123,245,478,22
27,100000,99117,132,239,512,28
28,100000,99088,132,229,551,29
29,100000,99062,132,213,593,26
30,100000,99040,114,220,626,40
31,100000,99012,105,209,674,37
32,100000,98984,104,211,701,29
33,100000,98954,108,215,723,26
34,100000,98923,117,209,751,22
35,100000,98893,119,208,780,28
36,100000,98870,114,210,806,28
37,100000,98834,120,200,846,30
38,100000,98795,128,194,883,31
39,100000,98762,131,195,912,30
40,100000,98734,136,192,938,23
41,100000,98705,129,206,960,36
42,100000,98670,125,217,988,39
43,100000,98638,124,222,1016,33
44,100000,98604,130,220,1046,28
45,100000,98574,131,218,1077,29
46,100000,98550,120,223,1107,35
47,100000,98524,114,232,1130,32
48,100000,98498,106,230,1166,34
49,100000,98475,99,221,1205,30
50,100000,98445,105,212,1238,24
51,100000,98404,120,210,1266,26
52,100000,98379,119,207,1295,26
53,100000,98346,129,195,1330,23
54,100000,98312,133,193,1362,30
55,100000,98276,128,200,1396,41
56,100000,98249,130,195,1426,25
57,100000,98227,119,204,1450,33
58,100000,98200,112,212,1476,34
59,100000,98168,108,222,1502,36
60,100000,98134,115,226,1525,27
61,100000,98098,129,218,1555,22
62,100000,98071,129,204,1596,27
63,100000,98051,117,211,1621,32
64,100000,98023,111,212,1654,34
65,100000,97992,106,214,1688,36
66,100000,97972,99,205,1724,27
67,100000,97945,106,198,1751,20
68,100000,97912,111,204,1773,28
69,100000,97888,104,208,1800,31
70,100000,97848,124,196,1832,20
71,100000,97818,127,189,1866,27
72,100000,97791,121,186,1902,33
73,100000,97762,126,183,1929,24
74,100000,97735,113,203,1949,40
75,100000,97703,115,205,1977,30
76,100000,97671,120,201,2008,27
77,100000,97634,128,210,2028,29
78,100000,97605,130,210,2055,27
79,100000,97579,124,209,2088,32
80,100000,97549,122,217,2112,32
81,100000,97525,109,214,2152,37
82,100000,97497,108,213,2182,29
83,100000,97471,108,212,2209,26
84,100000,97439,110,213,2238,30
85,100000,97403,122,210,2265,24
86,100000,97375,122,206,2297,28
87,100000,97347,124,200,2329,26
88,100000,97325,114,195,2366,32
89,100000,97299,104,202,2395,36
90,100000,97271,104,204,2421,28
91,100000,97246,101,202,2451,28
92,100000,97211,114,200,2475,22
93,100000,97184,115,198,2503,26
94,100000,97163,108,200,2529,28
95,100000,97145,101,193,2561,25
96,100000,97117,94,192,2597,35
97,100000,97090,94,191,2625,27
98,100000,97057,106,184,2653,21
99,100000,97025,120,180,2675,18
100,100000,96999,118,182,2701,28
101,100000,96967,123,181,2729,27
102,100000,96946,111,189,2754,33
103,100000,96909,116,186,2789,32
104,100000,96884,115,185,2816,26
105,100000,96856,111,196,2837,32
106,100000,96826,120,199,2855,21
107,100000,96795,114,208,2883,37
108,100000,96766,118,206,2910,25
109,100000,96737,119,201,2943,28
110,100000,96704,122,199,2975,30
111,100000,96668,127,204,3001,31
112,100000,96637,129,201,3033,29
113,100000,96610,127,209,3054,29
114,100000,96580,124,205,3091,33
115,100000,96549,119,216,3116,36
116,100000,96506,131,219,3144,31
117,100000,96472,138,216,3174,27
118,100000,96444,136,215,3205,30
119,100000,96412,137,217,3234,31
120,100000,96381,125,231,3263,43
121,100000,96361,111,232,3296,34
122,100000,96325,119,224,3332,28
123,100000,96292,120,225,3363,32
124,100000,96261,120,229,3390,31
125,100000,96234,127,219,3420,20
126,100000,96206,119,224,3451,36
127,100000,96182,110,214,3494,33
128,100000,96157,104,211,3528,31
129,100000,96131,103,210,3556,27
130,100000,96107,99,206,3588,28
131,100000,96079,103,199,3619,24
132,100000,96057,100,204,3639,25
133,100000,96022,109,194,3675,26
134,100000,95989,118,185,3708,24
135,100000,95962,117,182,3739,28
136,100000,95946,111,177,3766,22
137,100000,95925,97,184,3794,35
138,100000,95900,89,193,3818,33
139,100000,95862,100,195,3843,27
140,100000,95825,121,185,3869,16
141,100000,95787,138,182,3893,21
142,100000,95763,137,179,3921,25
143,100000,95736,126,195,3943,38
144,100000,95706,119,197,3978,37
145,100000,95679,108,202,4011,38
146,100000,95648,115,199,4038,24
147,100000,95620,116,210,4054,27
148,100000,95596,110,219,4075,30
149,100000,95570,109,221,4100,27
150,100000,95537,111,214,4138,31
151,100000,95505,115,205,4175,28
152,100000,95481,115,191,4213,24
153,100000,95452,118,193,4237,26
154,100000,95427,110,199,4264,33
155,100000,95395,110,201,4294,32
156,100000,95367,114,198,4321,24
157,100000,95330,122,196,4352,29
158,100000,95304,123,193,4380,25
159,100000,95274,121,201,4404,32
160,100000,95256,111,203,4430,28
161,100000,95227,103,207,4463,37
162,100000,95205,99,201,4495,26
163,100000,95179,95,207,4519,30
164,100000,95153,103,196,4548,18
165,100000,95122,105,200,4573,29
166,100000,95091,114,190,4605,22
167,100000,95064,115,188,4633,26
168,100000,95036,117,177,4670,26
169,100000,95010,112,182,4696,31
170,100000,94983,108,183,4726,31
171,100000,94950,114,192,4744,27
172,100000,94916,120,191,4773,28
173,100000,94887,123,195,4795,26
174,100000,94859,124,196,4821,27
175,100000,94835,115,203,4847,33
176,100000,94805,111,206,4878,34
177,100000,94776,111,204,4909,29
178,100000,94750,109,205,4936,28
179,100000,94711,124,201,4964,24
180,100000,94673,132,205,4990,30
181,100000,94649,127,207,5017,29
182,100000,94618,132,200,5050,26
183,100000,94592,119,205,5084,39
184,100000,94555,118,214,5113,38
185,100000,94523,126,210,5141,24
186,100000,94493,125,217,5165,31
187,100000,94461,131,213,5195,26
188,100000,94430,125,221,5224,37
189,100000,94398,125,227,5250,32
190,100000,94366,127,218,5289,30
191,100000,94338,123,212,5327,32
192,100000,94304,126,219,5351,31
193,100000,94274,124,220,5382,32
194,100000,94249,117,226,5408,32
195,100000,94218,120,217,5445,28
196,100000,94186,118,219,5477,34
197,100000,94158,116,219,5507,30
198,100000,94128,121,212,5539,25
199,100000,94089,129,212,5570,31
200,100000,94058,128,212,5602,32
201,100000,94031,127,208,5634,28
202,100000,94003,125,210,5662,30
203,100000,93980,109,215,5696,39
204,100000,93953,105,216,5726,31
205,100000,93920,111,218,5751,27
206,100000,93893,110,215,5782,28
207,100000,93861,119,206,5814,23
208,100000,93832,121,205,5842,27
209,100000,93805,115,208,5872,33
210,100000,93771,122,196,5911,27
211,100000,93754,107,197,5942,32
212,100000,93734,98,199,5969,29
213,100000,93709,96,198,5997,27
214,100000,93686,85,209,6020,34
215,100000,93660,94,199,6047,17
216,100000,93634,100,186,6080,20
217,100000,93602,107,184,6107,25
218,100000,93578,108,175,6139,23
219,100000,93553,107,172,6168,26
220,100000,93535,99,171,6195,26
221,100000,93508,94,169,6229,32
222,100000,93481,97,176,6246,24
223,100000,93453,100,181,6266,25
224,100000,93429,106,174,6291,18
225,100000,93411,97,178,6314,27
226,100000,93387,94,179,6340,27
227,100000,93364,89,181,6366,28
228,100000,93343,86,173,6398,24
229,100000,93325,86,167,6422,18
230,100000,93292,95,166,6447,24
231,100000,93264,100,171,6465,23
232,100000,93247,96,165,6492,21
233,100000,93217,108,156,6519,18
234,100000,93184,108,161,6547,33
235,100000,93148,116,165,6571,28
236,100000,93127,120,164,6589,17
237,100000,93095,122,170,6613,30
238,100000,93071,113,180,6636,33
239,100000,93043,105,195,6657,36
240,100000,93021,106,198,6675,21
241,100000,92993,102,197,6708,32
242,100000,92968,103,193,6736,24
243,100000,92941,102,204,6753,28
244,100000,92914,107,196,6783,22
245,100000,92887,106,191,6816,28
246,100000,92867,101,180,6852,25
247,100000,92839,102,186,6873,27
248,100000,92815,99,181,6905,27
249,100000,92791,96,184,6929,27
250,100000,92777,90,176,6957,20
251,100000,92754,85,182,6979,28
252,100000,92727,88,178,7007,24
253,100000,92695,96,177,7032,24
254,100000,92667,110,164,7059,14
255,100000,92643,111,160,7086,23
256,100000,92616,111,160,7113,27
257,100000,92589,106,172,7133,32
258,100000,92565,102,172,7161,28
259,100000,92540,103,172,7185,24
260,100000,92514,102,175,7209,27
261,100000,92491,98,188,7223,27
262,100000,92469,96,189,7246,24
263,100000,92445,95,187,7273,25
264,100000,92425,89,181,7305,26
265,100000,92398,93,176,7333,23
266,100000,92383,86,174,7357,22
267,100000,92359,86,171,7384,24
