Category,X,Y
Residential,26,107
Residential,26,108
Residential,26,109
Residential,26,111
Residential,26,112
Residential,26,114
Residential,26,115
Residential,26,116
Residential,26,117
Residential,26,118
Residential,26,119
Residential,26,122
Residential,26,123
Residential,26,124
Residential,26,126
Residential,26,127
Residential,26,128
Residential,26,132
Residential,26,133
Residential,26,134
Residential,26,136
Residential,26,139
Residential,26,140
Residential,26,142
Residential,26,144
Residential,26,145
Residential,26,146
Residential,26,147
Residential,26,148
Residential,26,149
Residential,26,150
Residential,26,151
Residential,26,153
Residential,26,155
Residential,26,156
Residential,26,157
Residential,26,158
Residential,26,159
Residential,26,160
Residential,26,161
Residential,26,163
Residential,26,164
Residential,26,165
Residential,28,31
Residential,28,33
Residential,28,35
Residential,28,36
Residential,28,38
Residential,28,40
Residential,28,41
Residential,28,42
Residential,28,43
Residential,28,45
Residential,28,49
Residential,28,50
Residential,28,53
Residential,28,54
Residential,28,55
Residential,28,59
Residential,28,62
Residential,28,63
Residential,28,64
Residential,28,66
Residential,28,67
Residential,28,69
Residential,28,84
Residential,28,85
Residential,28,86
Residential,28,87
Residential,28,90
Residential,28,91
Residential,28,92
Residential,28,93
Residential,28,94
Residential,28,95
Residential,28,96
Residential,28,97
Residential,28,98
Residential,28,99
Residential,28,101
Residential,28,102
Residential,28,103
Residential,28,104
Residential,28,105
Residential,28,106
Residential,28,107
Residential,28,108
Residential,28,109
Residential,28,111
Residential,28,112
Residential,28,113
Residential,28,114
Residential,28,116
Residential,28,118
Residential,28,119
Residential,28,121
Residential,28,122
Residential,28,123
Residential,28,124
Residential,28,126
Residential,28,128
Residential,28,130
Residential,28,135
Residential,28,140
Residential,28,142
Residential,28,143
Residential,28,144
Residential,28,145
Residential,28,146
Residential,28,147
Residential,28,148
Residential,28,150
Residential,28,154
Residential,28,155
Residential,28,156
Residential,28,157
Residential,28,158
Residential,28,159
Residential,28,160
Residential,28,163
Residential,28,164
Residential,30,31
Residential,30,32
Residential,30,33
Residential,30,34
Residential,30,35
Residential,30,39
Residential,30,40
Residential,30,41
Residential,30,42
Residential,30,43
Residential,30,45
Residential,30,46
Residential,30,48
Residential,30,50
Residential,30,51
Residential,30,52
Residential,30,53
Residential,30,54
Residential,30,55
Residential,30,56
Residential,30,59
Residential,30,61
Residential,30,65
Residential,30,66
Residential,30,70
Residential,30,78
Residential,30,80
Residential,30,81
Residential,30,84
Residential,30,85
Residential,30,86
Residential,30,87
Residential,30,91
Residential,30,92
Residential,30,93
Residential,30,94
Residential,30,95
Residential,30,96
Residential,30,97
Residential,30,98
Residential,30,99
Residential,30,101
Residential,30,103
Residential,30,104
Residential,30,107
Residential,30,109
Residential,30,111
Residential,30,112
Residential,30,113
Residential,30,114
Residential,30,115
Residential,30,116
Residential,30,118
Residential,30,119
Residential,30,121
Residential,30,122
Residential,30,124
Residential,30,127
Residential,30,128
Residential,30,129
Residential,30,132
Residential,30,133
Residential,30,134
Residential,30,136
Residential,30,138
Residential,30,139
Residential,30,140
Residential,30,142
Residential,30,143
Residential,30,144
Residential,30,145
Residential,30,146
Residential,30,147
Residential,30,148
Residential,30,149
Residential,30,150
Residential,30,151
Residential,30,153
Residential,30,154
Residential,30,155
Residential,30,157
Residential,30,158
Residential,30,159
Residential,30,160
Residential,30,161
Residential,30,163
Residential,30,164
Residential,30,165
Residential,30,166
Residential,32,31
Residential,32,32
Residential,32,33
Residential,32,34
Residential,32,36
Residential,32,38
Residential,32,39
Residential,32,40
Residential,32,41
Residential,32,42
Residential,32,43
Residential,32,44
Residential,32,45
Residential,32,48
Residential,32,49
Residential,32,50
Residential,32,52
Residential,32,53
Residential,32,54
Residential,32,55
Residential,32,56
Residential,32,57
Residential,32,59
Residential,32,60
Residential,32,61
Residential,32,62
Residential,32,63
Residential,32,64
Residential,32,75
Residential,32,78
Residential,32,80
Residential,32,82
Residential,32,83
Residential,32,84
Residential,32,85
Residential,32,87
Residential,32,88
Residential,32,90
Residential,32,91
Residential,32,92
Residential,32,93
Residential,32,95
Residential,32,96
Residential,32,97
Residential,32,99
Residential,32,101
Residential,32,102
Residential,32,103
Residential,32,106
Residential,32,108
Residential,32,109
Residential,32,111
Residential,32,113
Residential,32,114
Residential,32,115
Residential,32,116
Residential,32,117
Residential,32,118
Residential,32,119
Residential,32,121
Residential,32,122
Residential,32,123
Residential,32,124
Residential,32,125
Residential,32,126
Residential,32,127
Residential,32,129
Residential,32,132
Residential,32,134
Residential,32,135
Residential,32,136
Residential,32,137
Residential,32,138
Residential,32,139
Residential,32,142
Residential,32,143
Residential,32,144
Residential,32,145
Residential,32,146
Residential,32,147
Residential,32,148
Residential,32,149
Residential,32,150
Residential,32,151
Residential,32,153
Residential,32,154
Residential,32,155
Residential,32,156
Residential,32,157
Residential,32,158
Residential,32,160
Residential,32,161
Residential,32,163
Residential,32,164
Residential,32,165
Residential,32,166
Residential,32,167
Residential,33,29
Residential,33,30
Residential,33,31
Residential,33,32
Residential,33,33
Residential,33,34
Residential,33,35
Residential,33,36
Residential,33,38
Residential,33,39
Residential,33,40
Residential,33,41
Residential,33,42
Residential,33,43
Residential,33,45
Residential,33,46
Residential,33,48
Residential,33,50
Residential,33,51
Residential,33,52
Residential,33,53
Residential,33,54
Residential,33,55
Residential,33,56
Residential,33,57
Residential,33,59
Residential,33,61
Residential,33,63
Residential,33,66
Residential,33,67
Residential,33,69
Residential,33,70
Residential,33,71
Residential,33,74
Residential,33,77
Residential,33,78
Residential,33,83
Residential,33,84
Residential,33,85
Residential,33,86
Residential,33,87
Residential,33,88
Residential,33,90
Residential,33,91
Residential,33,92
Residential,33,93
Residential,33,94
Residential,33,95
Residential,33,96
Residential,33,97
Residential,33,98
Residential,33,99
Residential,33,102
Residential,33,103
Residential,33,106
Residential,33,107
Residential,33,108
Residential,33,109
Residential,33,111
Residential,33,112
Residential,33,113
Residential,33,115
Residential,33,117
Residential,33,118
Residential,33,119
Residential,33,122
Residential,33,123
Residential,33,124
Residential,33,125
Residential,33,127
Residential,33,128
Residential,33,130
Residential,33,134
Residential,33,135
Residential,33,136
Residential,33,137
Residential,33,138
Residential,33,139
Residential,33,140
Residential,33,142
Residential,33,143
Residential,33,144
Residential,33,145
Residential,33,146
Residential,33,147
Residential,33,148
Residential,33,149
Residential,33,150
Residential,33,151
Residential,33,153
Residential,33,154
Residential,33,155
Residential,33,156
Residential,33,157
Residential,33,158
Residential,33,159
Residential,33,160
Residential,33,161
Residential,33,163
Residential,33,164
Residential,33,166
Residential,33,167
Residential,33,168
Residential,33,169
Residential,35,24
Residential,35,25
Residential,35,28
Residential,35,29
Residential,35,30
Residential,35,31
Residential,35,32
Residential,35,33
Residential,35,34
Residential,35,35
Residential,35,36
Residential,35,38
Residential,35,39
Residential,35,45
Residential,35,46
Residential,35,48
Residential,35,49
Residential,35,50
Residential,35,51
Residential,35,52
