x,y,neighborhood_id,HI_bar,X_i,omega_i
0,106,0,0.000000,0,0.730000
0,155,0,0.000000,0,0.730000
0,156,0,0.000000,0,0.730000
0,157,0,0.000000,0,0.730000
1,106,0,0.000000,0,0.730000
1,107,0,0.000000,0,0.730000
1,108,0,0.000000,0,0.730000
1,112,0,0.000000,0,0.730000
1,156,0,0.000000,0,0.730000
1,157,0,0.000000,0,0.730000
3,106,0,0.000000,0,0.730000
3,108,0,0.000000,0,0.730000
3,111,0,0.000000,0,0.730000
3,113,0,0.000000,0,0.730000
3,155,0,0.000000,0,0.730000
4,107,0,0.000000,0,0.730000
4,153,0,0.000000,0,0.730000
4,158,0,0.000000,0,0.730000
5,112,0,0.000000,0,0.730000
5,116,0,0.000000,0,0.730000
5,154,0,0.000000,0,0.730000
5,155,0,0.000000,0,0.730000
7,108,0,0.000000,0,0.730000
7,111,0,0.000000,0,0.730000
7,113,0,0.000000,0,0.730000
7,114,0,0.000000,0,0.730000
7,143,0,0.000000,0,0.730000
7,145,0,0.000000,0,0.730000
7,153,0,0.000000,0,0.730000
7,154,0,0.000000,0,0.730000
7,156,0,0.000000,0,0.730000
8,105,0,0.000000,0,0.730000
8,106,0,0.000000,0,0.730000
8,107,0,0.000000,0,0.730000
8,108,0,0.000000,0,0.730000
8,109,0,0.000000,0,0.730000
8,111,0,0.000000,0,0.730000
8,113,0,0.000000,0,0.730000
8,114,0,0.000000,0,0.730000
8,115,0,0.000000,0,0.730000
8,117,0,0.000000,0,0.730000
8,118,0,0.000000,0,0.730000
8,143,0,0.000000,0,0.730000
8,153,0,0.000000,0,0.730000
8,154,0,0.000000,0,0.730000
8,156,0,0.000000,0,0.730000
8,158,0,0.000000,0,0.730000
9,104,0,0.000000,0,0.730000
9,105,0,0.000000,0,0.730000
9,107,0,0.000000,0,0.730000
9,108,0,0.000000,0,0.730000
9,109,0,0.000000,0,0.730000
9,111,0,0.000000,0,0.730000
9,112,0,0.000000,0,0.730000
9,114,0,0.000000,0,0.730000
9,119,0,0.000000,0,0.730000
9,144,0,0.000000,0,0.730000
9,146,0,0.000000,0,0.730000
9,147,0,0.000000,0,0.730000
9,151,0,0.000000,0,0.730000
9,153,0,0.000000,0,0.730000
9,154,0,0.000000,0,0.730000
9,155,0,0.000000,0,0.730000
9,156,0,0.000000,0,0.730000
9,157,0,0.000000,0,0.730000
9,158,0,0.000000,0,0.730000
9,159,0,0.000000,0,0.730000
11,41,0,0.000000,0,0.730000
11,42,0,0.000000,0,0.730000
11,103,0,0.000000,0,0.730000
11,104,0,0.000000,0,0.730000
11,105,0,0.000000,0,0.730000
11,106,0,0.000000,0,0.730000
11,107,0,0.000000,0,0.730000
11,108,0,0.000000,0,0.730000
11,109,0,0.000000,0,0.730000
11,111,0,0.000000,0,0.730000
11,115,0,0.000000,0,0.730000
11,116,0,0.000000,0,0.730000
11,118,0,0.000000,0,0.730000
11,122,0,0.000000,0,0.730000
11,144,0,0.000000,0,0.730000
11,145,0,0.000000,0,0.730000
11,147,0,0.000000,0,0.730000
11,149,0,0.000000,0,0.730000
11,151,0,0.000000,0,0.730000
11,153,0,0.000000,0,0.730000
11,154,0,0.000000,0,0.730000
11,155,0,0.000000,0,0.730000
11,156,0,0.000000,0,0.730000
11,158,0,0.000000,0,0.730000
11,159,0,0.000000,0,0.730000
11,160,0,0.000000,0,0.730000
11,161,0,0.000000,0,0.730000
11,164,0,0.000000,0,0.730000
12,40,0,0.000000,0,0.730000
12,45,0,0.000000,0,0.730000
12,52,0,0.000000,0,0.730000
12,53,0,0.000000,0,0.730000
12,98,0,0.000000,0,0.730000
12,99,0,0.000000,0,0.730000
12,101,0,0.000000,0,0.730000
12,102,0,0.000000,0,0.730000
12,103,0,0.000000,0,0.730000
12,104,0,0.000000,0,0.730000
12,105,0,0.000000,0,0.730000
12,106,0,0.000000,0,0.730000
12,109,0,0.000000,0,0.730000
12,111,0,0.000000,0,0.730000
12,112,0,0.000000,0,0.730000
12,113,0,0.000000,0,0.730000
12,114,0,0.000000,0,0.730000
12,116,0,0.000000,0,0.730000
12,117,0,0.000000,0,0.730000
12,121,0,0.000000,0,0.730000
12,122,0,0.000000,0,0.730000
12,148,0,0.000000,0,0.730000
12,149,0,0.000000,0,0.730000
12,150,0,0.000000,0,0.730000
12,153,0,0.000000,0,0.730000
12,154,0,0.000000,0,0.730000
12,155,0,0.000000,0,0.730000
12,157,0,0.000000,0,0.730000
12,158,0,0.000000,0,0.730000
12,159,0,0.000000,0,0.730000
12,160,0,0.000000,0,0.730000
12,163,0,0.000000,0,0.730000
12,164,0,0.000000,0,0.730000
12,165,0,0.000000,0,0.730000
13,35,0,0.000000,0,0.730000
13,36,0,0.000000,0,0.730000
13,38,0,0.000000,0,0.730000
13,43,0,0.000000,0,0.730000
13,45,0,0.000000,0,0.730000
13,46,0,0.000000,0,0.730000
13,51,0,0.000000,0,0.730000
13,97,0,0.000000,0,0.730000
13,99,0,0.000000,0,0.730000
13,101,0,0.000000,0,0.730000
13,103,0,0.000000,0,0.730000
13,104,0,0.000000,0,0.730000
13,105,0,0.000000,0,0.730000
13,106,0,0.000000,0,0.730000
13,107,0,0.000000,0,0.730000
13,108,0,0.000000,0,0.730000
13,109,0,0.000000,0,0.730000
13,111,0,0.000000,0,0.730000
13,112,0,0.000000,0,0.730000
13,113,0,0.000000,0,0.730000
13,114,0,0.000000,0,0.730000
13,115,0,0.000000,0,0.730000
13,116,0,0.000000,0,0.730000
13,118,0,0.000000,0,0.730000
13,119,0,0.000000,0,0.730000
13,142,0,0.000000,0,0.730000
13,143,0,0.000000,0,0.730000
13,144,0,0.000000,0,0.730000
13,146,0,0.000000,0,0.730000
13,147,0,0.000000,0,0.730000
13,148,0,0.000000,0,0.730000
13,149,0,0.000000,0,0.730000
13,157,0,0.000000,0,0.730000
13,158,0,0.000000,0,0.730000
13,159,0,0.000000,0,0.730000
13,160,0,0.000000,0,0.730000
13,165,0,0.000000,0,0.730000
15,34,0,0.000000,0,0.730000
15,40,0,0.000000,0,0.730000
15,41,0,0.000000,0,0.730000
15,44,0,0.000000,0,0.730000
15,46,0,0.000000,0,0.730000
15,49,0,0.000000,0,0.730000
15,50,0,0.000000,0,0.730000
15,53,0,0.000000,0,0.730000
15,90,0,0.000000,0,0.730000
15,91,0,0.000000,0,0.730000
15,92,0,0.000000,0,0.730000
15,93,0,0.000000,0,0.730000
15,97,0,0.000000,0,0.730000
15,99,0,0.000000,0,0.730000
15,102,0,0.000000,0,0.730000
15,103,0,0.000000,0,0.730000
15,104,0,0.000000,0,0.730000
15,105,0,0.000000,0,0.730000
15,107,0,0.000000,0,0.730000
15,108,0,0.000000,0,0.730000
15,109,0,0.000000,0,0.730000
15,111,0,0.000000,0,0.730000
15,112,0,0.000000,0,0.730000
15,114,0,0.000000,0,0.730000
15,115,0,0.000000,0,0.730000
15,116,0,0.000000,0,0.730000
15,117,0,0.000000,0,0.730000
15,118,0,0.000000,0,0.730000
15,121,0,0.000000,0,0.730000
15,124,0,0.000000,0,0.730000
15,128,0,0.000000,0,0.730000
15,129,0,0.000000,0,0.730000
15,143,0,0.000000,0,0.730000
15,145,0,0.000000,0,0.730000
15,146,0,0.000000,0,0.730000
15,147,0,0.000000,0,0.730000
15,148,0,0.000000,0,0.730000
15,150,0,0.000000,0,0.730000
15,153,0,0.000000,0,0.730000
15,155,0,0.000000,0,0.730000
15,156,0,0.000000,0,0.730000
15,157,0,0.000000,0,0.730000
15,158,0,0.000000,0,0.730000
15,159,0,0.000000,0,0.730000
15,164,0,0.000000,0,0.730000
16,33,0,0.000000,0,0.730000
16,39,0,0.000000,0,0.730000
16,44,0,0.000000,0,0.730000
16,45,0,0.000000,0,0.730000
16,50,0,0.000000,0,0.730000
16,52,0,0.000000,0,0.730000
16,54,0,0.000000,0,0.730000
16,56,0,0.000000,0,0.730000
16,64,0,0.000000,0,0.730000
16,86,0,0.000000,0,0.730000
16,87,0,0.000000,0,0.730000
16,91,0,0.000000,0,0.730000
16,92,0,0.000000,0,0.730000
16,93,0,0.000000,0,0.730000
16,94,0,0.000000,0,0.730000
16,95,0,0.000000,0,0.730000
16,98,0,0.000000,0,0.730000
16,99,0,0.000000,0,0.730000
16,101,0,0.000000,0,0.730000
16,103,0,0.000000,0,0.730000
16,104,0,0.000000,0,0.730000
16,105,0,0.000000,0,0.730000
16,106,0,0.000000,0,0.730000
16,107,0,0.000000,0,0.730000
16,108,0,0.000000,0,0.730000
16,109,0,0.000000,0,0.730000
16,111,0,0.000000,0,0.730000
16,112,0,0.000000,0,0.730000
16,114,0,0.000000,0,0.730000
16,115,0,0.000000,0,0.730000
16,116,0,0.000000,0,0.730000
16,117,0,0.000000,0,0.730000
16,118,0,0.000000,0,0.730000
16,119,0,0.000000,0,0.730000
16,121,0,0.000000,0,0.730000
16,123,0,0.000000,0,0.730000
16,124,0,0.000000,0,0.730000
16,129,0,0.000000,0,0.730000
16,132,0,0.000000,0,0.730000
16,133,0,0.000000,0,0.730000
16,143,0,0.000000,0,0.730000
16,145,0,0.000000,0,0.730000
16,146,0,0.000000,0,0.730000
16,147,0,0.000000,0,0.730000
16,148,0,0.000000,0,0.730000
16,149,0,0.000000,0,0.730000
16,150,0,0.000000,0,0.730000
16,153,0,0.000000,0,0.730000
16,154,0,0.000000,0,0.730000
16,155,0,0.000000,0,0.730000
16,157,0,0.000000,0,0.730000
16,158,0,0.000000,0,0.730000
16,159,0,0.000000,0,0.730000
16,160,0,0.000000,0,0.730000
16,161,0,0.000000,0,0.730000
16,163,0,0.000000,0,0.730000
16,164,0,0.000000,0,0.730000
17,34,0,0.000000,0,0.730000
17,36,0,0.000000,0,0.730000
17,38,0,0.000000,0,0.730000
17,39,0,0.000000,0,0.730000
17,41,0,0.000000,0,0.730000
17,43,0,0.000000,0,0.730000
17,44,0,0.000000,0,0.730000
17,49,0,0.000000,0,0.730000
17,50,0,0.000000,0,0.730000
17,52,0,0.000000,0,0.730000
17,53,0,0.000000,0,0.730000
17,59,0,0.000000,0,0.730000
17,60,0,0.000000,0,0.730000
17,62,0,0.000000,0,0.730000
17,85,0,0.000000,0,0.730000
17,86,0,0.000000,0,0.730000
17,90,0,0.000000,0,0.730000
17,91,0,0.000000,0,0.730000
17,94,0,0.000000,0,0.730000
17,96,0,0.000000,0,0.730000
17,97,0,0.000000,0,0.730000
17,98,0,0.000000,0,0.730000
17,99,0,0.000000,0,0.730000
17,101,0,0.000000,0,0.730000
17,103,0,0.000000,0,0.730000
17,104,0,0.000000,0,0.730000
17,105,0,0.000000,0,0.730000
17,106,0,0.000000,0,0.730000
17,107,0,0.000000,0,0.730000
17,108,0,0.000000,0,0.730000
17,109,0,0.000000,0,0.730000
17,111,0,0.000000,0,0.730000
17,115,0,0.000000,0,0.730000
17,116,0,0.000000,0,0.730000
17,118,0,0.000000,0,0.730000
17,119,0,0.000000,0,0.730000
17,121,0,0.000000,0,0.730000
17,125,0,0.000000,0,0.730000
17,126,0,0.000000,0,0.730000
17,128,0,0.000000,0,0.730000
17,129,0,0.000000,0,0.730000
17,133,0,0.000000,0,0.730000
17,134,0,0.000000,0,0.730000
17,137,0,0.000000,0,0.730000
17,138,0,0.000000,0,0.730000
17,142,0,0.000000,0,0.730000
17,143,0,0.000000,0,0.730000
17,144,0,0.000000,0,0.730000
17,146,0,0.000000,0,0.730000
17,147,0,0.000000,0,0.730000
17,149,0,0.000000,0,0.730000
17,151,0,0.000000,0,0.730000
17,153,0,0.000000,0,0.730000
17,154,0,0.000000,0,0.730000
17,155,0,0.000000,0,0.730000
17,157,0,0.000000,0,0.730000
17,158,0,0.000000,0,0.730000
17,160,0,0.000000,0,0.730000
17,163,0,0.000000,0,0.730000
17,164,0,0.000000,0,0.730000
19,32,0,0.000000,0,0.730000
19,38,0,0.000000,0,0.730000
19,39,0,0.000000,0,0.730000
19,40,0,0.000000,0,0.730000
19,41,0,0.000000,0,0.730000
19,42,0,0.000000,0,0.730000
19,43,0,0.000000,0,0.730000
19,44,0,0.000000,0,0.730000
19,45,0,0.000000,0,0.730000
19,48,0,0.000000,0,0.730000
19,51,0,0.000000,0,0.730000
19,53,0,0.000000,0,0.730000
19,54,0,0.000000,0,0.730000
19,56,0,0.000000,0,0.730000
19,57,0,0.000000,0,0.730000
19,60,0,0.000000,0,0.730000
19,62,0,0.000000,0,0.730000
19,64,0,0.000000,0,0.730000
19,67,0,0.000000,0,0.730000
