tick,TotalHumans,Susceptible,Exposed,Infected,Recovered,New Cases per day
1,100000,99994,0,6,0,0
2,100000,99949,45,6,0,0
3,100000,99917,77,6,0,0
4,100000,99889,105,6,0,0
5,100000,99854,140,6,0,0
6,100000,99817,132,51,0,45
7,100000,99776,141,83,0,32
8,100000,99738,151,105,6,28
9,100000,99697,157,140,6,35
10,100000,99676,141,177,6,37
11,100000,99645,131,218,6,41
12,100000,99619,119,256,6,38
13,100000,99585,112,252,51,41
14,100000,99553,123,241,83,21
15,100000,99520,125,244,111,31
16,100000,99481,138,235,146,26
17,100000,99445,140,232,183,34
18,100000,99404,149,223,224,32
19,100000,99373,147,218,262,33
20,100000,99352,129,216,303,39
21,100000,99320,125,231,324,36
22,100000,99294,110,241,355,41
23,100000,99255,118,246,381,31
24,100000,99222,130,233,415,21
25,100000,99190,130,233,447,32
26,100000,99159,135,226,480,26
27,100000,99128,127,226,519,39
28,100000,99099,123,223,555,33
29,100000,99068,122,214,596,32
30,100000,99040,119,214,627,31
31,100000,98997,131,224,648,31
32,100000,98962,137,221,680,29
33,100000,98929,139,226,706,31
34,100000,98904,136,215,745,28
35,100000,98875,122,225,778,43
36,100000,98842,120,228,810,35
37,100000,98817,112,230,841,33
38,100000,98785,119,224,872,25
39,100000,98748,127,224,901,29
40,100000,98730,112,226,932,33
41,100000,98698,119,223,960,25
42,100000,98661,124,212,1003,32
43,100000,98627,121,214,1038,37
44,100000,98598,132,199,1071,18
45,100000,98561,137,206,1096,32
46,100000,98529,132,214,1125,37
47,100000,98487,140,215,1158,34
48,100000,98458,140,219,1183,29
49,100000,98419,142,224,1215,37
50,100000,98392,137,219,1252,32
51,100000,98359,128,243,1270,42
52,100000,98328,130,240,1302,29
53,100000,98297,122,242,1339,39
54,100000,98261,131,235,1373,27
55,100000,98218,141,239,1402,33
56,100000,98185,143,233,1439,31
57,100000,98157,140,232,1471,31
58,100000,98123,138,226,1513,36
59,100000,98096,122,240,1542,43
60,100000,98068,117,234,1581,33
61,100000,98034,123,235,1608,28
62,100000,98006,117,236,1641,34
63,100000,97981,115,232,1672,27
64,100000,97952,116,229,1703,28
65,100000,97922,112,227,1739,34
66,100000,97886,120,212,1782,28
67,100000,97848,133,204,1815,25
68,100000,97815,137,205,1843,29
69,100000,97786,136,201,1877,30
70,100000,97754,132,210,1904,36
71,100000,97720,128,220,1932,38
72,100000,97686,129,219,1966,33
73,100000,97656,130,220,1994,29
74,100000,97628,126,227,2019,32
75,100000,97591,129,232,2048,34
76,100000,97555,131,236,2078,34
77,100000,97526,130,230,2114,30
78,100000,97502,126,220,2152,28
79,100000,97468,123,224,2185,37
80,100000,97431,124,231,2214,36
81,100000,97402,124,228,2246,29
82,100000,97366,136,218,2280,24
83,100000,97326,142,218,2314,34
84,100000,97298,133,225,2344,37
85,100000,97268,134,226,2372,29
86,100000,97241,125,225,2409,36
87,100000,97218,108,229,2445,40
88,100000,97180,118,228,2474,28
89,100000,97147,121,234,2498,30
90,100000,97121,120,227,2532,27
91,100000,97100,118,213,2569,23
92,100000,97069,111,222,2598,38
93,100000,97043,104,219,2634,33
94,100000,97021,100,205,2674,26
95,100000,96985,115,198,2702,21
96,100000,96953,116,199,2732,31
97,100000,96927,116,198,2759,26
98,100000,96904,117,197,2782,22
99,100000,96867,118,195,2820,36
100,100000,96833,120,194,2853,32
101,100000,96802,125,194,2879,26
102,100000,96773,131,196,2900,23
103,100000,96750,117,202,2931,37
104,100000,96726,107,210,2957,34
105,100000,96699,103,219,2979,31
106,100000,96659,114,212,3015,29
107,100000,96625,125,203,3047,23
