tick,TotalHumans,Susceptible,Exposed,Infected,Recovered,New Cases per day
1,100000,99994,0,6,0,0
2,100000,99948,46,6,0,0
3,100000,99917,77,6,0,0
4,100000,99880,114,6,0,0
5,100000,99844,150,6,0,0
6,100000,99809,139,52,0,46
7,100000,99783,134,83,0,31
8,100000,99759,121,114,6,37
9,100000,99731,113,150,6,36
10,100000,99686,123,185,6,35
11,100000,99665,118,211,6,26
12,100000,99621,138,235,6,24
13,100000,99583,148,217,52,28
14,100000,99547,139,231,83,45
15,100000,99510,155,215,120,21
16,100000,99474,147,223,156,44
17,100000,99442,141,226,191,38
18,100000,99405,142,236,217,36
19,100000,99372,138,249,241,37
20,100000,99339,135,257,269,36
21,100000,99311,131,244,314,32
22,100000,99269,136,260,335,37
23,100000,99235,137,249,379,33
24,100000,99197,142,244,417,33
25,100000,99165,146,236,453,28
26,100000,99135,134,241,490,42
27,100000,99099,136,239,526,34
28,100000,99071,126,245,558,38
29,100000,99033,132,240,595,32
30,100000,98996,139,237,628,30
31,100000,98953,146,240,661,36
32,100000,98921,150,240,689,28
33,100000,98888,145,236,731,38
34,100000,98855,141,239,765,37
35,100000,98822,131,244,803,43
36,100000,98797,124,244,835,32
37,100000,98777,111,247,865,33
38,100000,98731,124,244,901,33
39,100000,98703,119,249,929,33
40,100000,98673,124,236,967,25
41,100000,98640,137,219,1004,20
42,100000,98601,130,222,1047,46
43,100000,98570,133,218,1079,28
44,100000,98533,140,215,1112,30
45,100000,98489,151,215,1145,33
46,100000,98452,149,221,1178,39
47,100000,98419,151,227,1203,31
48,100000,98377,156,244,1223,37
49,100000,98334,155,242,1269,44
50,100000,98293,159,251,1297,37
51,100000,98263,156,254,1327,33
52,100000,98212,165,263,1360,42
53,100000,98173,161,267,1399,43
54,100000,98147,146,277,1430,41
55,100000,98115,148,270,1467,30
56,100000,98080,132,277,1511,51
57,100000,98051,122,279,1548,39
58,100000,98019,128,272,1581,26
59,100000,97991,124,262,1623,32
60,100000,97957,123,254,1666,35
61,100000,97920,131,242,1707,29
62,100000,97895,124,244,1737,32
63,100000,97863,128,221,1788,28
64,100000,97840,117,216,1827,34
65,100000,97807,113,227,1853,37
66,100000,97768,127,220,1885,25
67,100000,97727,136,217,1920,32
68,100000,97693,147,211,1949,23
69,100000,97657,150,212,1981,33
70,100000,97616,152,223,2009,39
71,100000,97581,146,230,2043,41
72,100000,97549,144,227,2080,34
73,100000,97519,138,238,2105,36
74,100000,97491,125,247,2137,41
75,100000,97461,120,259,2160,35
76,100000,97421,128,258,2193,32
77,100000,97391,128,249,2232,30
78,100000,97357,134,236,2273,28
79,100000,97321,140,232,2307,30
80,100000,97287,134,236,2343,40
81,100000,97251,140,225,2384,30
82,100000,97222,135,224,2419,34
83,100000,97190,131,228,2451,36
84,100000,97155,132,232,2481,34
85,100000,97117,134,240,2509,36
86,100000,97079,143,239,2539,29
87,100000,97046,144,231,2579,32
88,100000,97015,140,236,2609,35
89,100000,96978,139,240,2643,38
90,100000,96949,130,242,2679,38
91,100000,96914,132,241,2713,33
92,100000,96882,133,236,2749,31
93,100000,96854,124,244,2778,37
94,100000,96821,128,241,2810,29
95,100000,96791,123,241,2845,35
96,100000,96763,119,235,2883,32
97,100000,96735,119,225,2921,28
98,100000,96712,109,225,2954,33
99,100000,96675,116,224,2985,30
100,100000,96638,125,215,3022,28
101,100000,96607,128,214,3051,28
102,100000,96579,133,202,3086,23
103,100000,96552,123,207,3118,37
104,100000,96529,109,216,3146,37
105,100000,96502,105,214,3179,31
106,100000,96474,105,212,3209,28
107,100000,96434,118,211,3237,27
108,100000,96401,128,206,3265,23
109,100000,96371,131,210,3288,27
110,100000,96337,137,201,3325,28
111,100000,96315,119,204,3362,40
112,100000,96286,115,206,3393,33
113,100000,96252,119,208,3421,30
114,100000,96228,109,215,3448,34
115,100000,96206,109,214,3471,22
116,100000,96175,111,216,3498,29
117,100000,96148,104,222,3526,34
118,100000,96111,117,206,3566,24
119,100000,96082,124,195,3599,22
120,100000,96049,126,196,3629,31
121,100000,96018,130,189,3663,27
122,100000,95998,113,204,3685,37
123,100000,95969,113,204,3714,29
124,100000,95934,115,203,3748,33
125,100000,95910,108,210,3772,31
126,100000,95877,121,208,3794,20
127,100000,95847,122,206,3825,29
128,100000,95813,121,214,3852,35
129,100000,95777,133,201,3889,24
130,100000,95752,125,205,3918,33
131,100000,95720,127,202,3951,30
132,100000,95687,126,205,3982,34
133,100000,95662,115,221,4002,36
134,100000,95628,124,217,4031,25
135,100000,95610,110,214,4066,32
136,100000,95586,101,223,4090,33
137,100000,95554,108,215,4123,25
138,100000,95523,105,219,4153,34
139,100000,95500,110,203,4187,18
140,100000,95477,109,191,4223,24
141,100000,95448,106,198,4248,32
142,100000,95417,106,197,4280,31
143,100000,95379,121,187,4313,23
144,100000,95357,120,185,4338,23
145,100000,95332,116,180,4372,29
146,100000,95299,118,193,4390,31
147,100000,95271,108,207,4414,38
148,100000,95243,114,197,4446,22
149,100000,95214,118,191,4477,25
150,100000,95188,111,201,4500,33
151,100000,95162,109,206,4523,28
152,100000,95123,120,205,4552,28
153,100000,95094,120,203,4583,29
154,100000,95056,132,191,4621,26
155,100000,95021,141,195,4643,26
156,100000,94995,128,209,4668,39
157,100000,94964,130,205,4701,29
158,100000,94943,113,215,4729,38
159,100000,94921,100,222,4757,35
160,100000,94901,94,219,4786,26
161,100000,94866,98,224,4812,31
162,100000,94833,110,219,4838,21
163,100000,94799,122,202,4877,22
164,100000,94772,129,193,4906,20
165,100000,94746,120,190,4944,35
166,100000,94721,112,188,4979,33
167,100000,94700,99,196,5005,34
168,100000,94661,111,192,5036,27
169,100000,94615,131,197,5057,26
170,100000,94583,138,200,5079,25
171,100000,94552,148,201,5099,21
172,100000,94523,138,205,5134,39
173,100000,94498,117,218,5167,46
174,100000,94463,120,216,5201,32
175,100000,94424,128,220,5228,31
176,100000,94402,121,223,5254,29
177,100000,94381,117,223,5279,25
178,100000,94360,103,237,5300,35
179,100000,94325,99,237,5339,39
180,100000,94294,108,213,5385,22
181,100000,94272,109,202,5417,21
182,100000,94243,117,192,5448,21
183,100000,94215,110,198,5477,35
184,100000,94195,99,204,5502,31
185,100000,94159,113,191,5537,22
186,100000,94134,109,181,5576,29
187,100000,94114,101,187,5598,28
188,100000,94088,107,186,5619,20
189,100000,94060,99,201,5640,36
190,100000,94024,110,191,5675,25
191,100000,93990,124,180,5706,20
192,100000,93963,125,184,5728,26
193,100000,93940,120,183,5757,28
194,100000,93914,110,191,5785,36
195,100000,93878,112,205,5805,34
196,100000,93848,115,196,5841,27
197,100000,93826,114,194,5866,23
198,100000,93807,107,200,5886,26
199,100000,93774,104,210,5912,36
200,100000,93751,97,212,5940,30
201,100000,93728,98,198,5976,22
202,100000,93707,100,183,6010,19
203,100000,93683,91,189,6037,33
204,100000,93654,97,189,6060,23
205,100000,93621,107,186,6086,23
206,100000,93594,113,171,6122,21
207,100000,93559,124,165,6152,24
208,100000,93533,121,172,6174,29
209,100000,93500,121,186,6193,33
210,100000,93467,127,180,6226,27
211,100000,93442,117,192,6249,35
212,100000,93421,112,195,6272,26
213,100000,93399,101,207,6293,33
214,100000,93362,105,216,6317,33
215,100000,93333,109,212,6346,25
216,100000,93303,118,200,6379,21
217,100000,93271,128,195,6406,22
218,100000,93239,123,197,6441,37
219,100000,93208,125,200,6467,29
220,100000,93183,120,197,6500,30
221,100000,93157,114,196,6533,32
222,100000,93136,103,203,6558,32
223,100000,93117,91,213,6579,31
224,100000,93078,105,216,6601,25
225,100000,93050,107,205,6638,26
226,100000,93021,115,197,6667,21
227,100000,92992,125,186,6697,19
228,100000,92970,108,193,6729,39
229,100000,92933,117,189,6761,28
230,100000,92911,110,187,6792,29
231,100000,92885,107,191,6817,29
232,100000,92861,109,187,6843,22
233,100000,92841,92,203,6864,37
234,100000,92819,92,206,6883,22
