aligned_week,real_week,real_year,real_incidence_rate,simulated_incidence_rate
1,21,2023,9.71118678269643,44.0
2,22,2023,11.098499180224493,256.0
3,23,2023,6.936561987640308,250.0
4,24,2023,8.32387438516837,259.0
5,25,2023,20.809685962920923,233.0
6,26,2023,6.936561987640308,270.0
7,27,2023,26.358935553033174,271.0
8,28,2023,34.68280993820154,222.00000000000003
9,29,2023,29.133560348089297,237.00000000000003
10,30,2023,34.68280993820154,244.0
11,31,2023,36.07012233572961,273.0
12,32,2023,44.393996720897974,241.99999999999997
13,33,2023,51.330558708538284,231.0
14,34,2023,31.908185143145413,241.99999999999997
15,35,2023,36.07012233572961,231.0
16,36,2023,40.23205952831378,220.0
17,37,2023,55.49249590112247,198.0
18,38,2023,61.04174549123471,222.00000000000003
19,39,2023,55.49249590112247,221.00000000000003
20,40,2023,40.23205952831378,224.99999999999997
21,41,2023,55.49249590112247,227.0
22,42,2023,45.78130911842603,206.99999999999997
23,43,2023,41.61937192584185,193.0
24,44,2023,49.943246311010206,225.99999999999997
25,45,2023,43.00668432336991,194.0
26,46,2023,30.520872745617353,212.0
27,47,2023,66.59099508134696,196.0
28,48,2023,67.97830747887501,202.0
29,49,2023,55.49249590112247,191.0
30,50,2023,66.59099508134696,195.0
31,51,2023,51.330558708538284,196.0
32,52,2023,51.330558708538284,175.0
33,1,2024,58.267120696178594,200.0
34,2,2024,43.00668432336991,206.00000000000003
35,3,2024,51.330558708538284,189.0
36,4,2024,33.29549754067348,190.0
37,5,2024,30.520872745617353,190.0
38,6,2024,33.29549754067348,202.0
39,7,2024,30.520872745617353,182.0
40,8,2024,19.42237356539286,188.0
41,9,2024,9.71118678269643,194.0
42,10,2024,5.549249590112247,175.0
43,11,2024,20.809685962920923,208.99999999999997
44,12,2024,13.873123975280617,186.0
45,13,2024,11.098499180224493,172.0
46,14,2024,18.035061167864804,170.0
47,15,2024,6.936561987640308,177.0
48,16,2024,9.71118678269643,169.0
49,17,2024,12.485811577752552,196.0
50,18,2024,12.485811577752552,157.0
51,19,2024,11.098499180224493,182.0
52,20,2024,9.71118678269643,191.0
