tick,TotalHumans,Susceptible,Exposed,Infected,Recovered,New Cases per day
1,100000,99996,0,4,0,0
2,100000,99943,53,4,0,0
3,100000,99913,83,4,0,0
4,100000,99882,114,4,0,0
5,100000,99855,141,4,0,0
6,100000,99816,127,57,0,53
7,100000,99770,143,87,0,30
8,100000,99727,155,114,4,31
9,100000,99690,165,141,4,27
10,100000,99654,162,180,4,39
11,100000,99617,153,226,4,46
12,100000,99593,134,269,4,43
13,100000,99567,123,253,57,37
14,100000,99537,117,259,87,36
15,100000,99510,107,265,118,37
16,100000,99487,106,262,145,24
17,100000,99445,122,249,184,26
18,100000,99425,112,233,230,30
19,100000,99393,117,217,273,27
20,100000,99367,120,203,310,23
21,100000,99333,112,209,346,42
22,100000,99305,120,192,383,20
23,100000,99275,118,200,407,32
24,100000,99248,119,200,433,26
25,100000,99221,112,204,463,34
26,100000,99204,101,205,490,28
27,100000,99181,94,212,513,30
28,100000,99151,97,197,555,27
29,100000,99108,113,204,575,27
30,100000,99076,128,189,607,17
31,100000,99050,131,186,633,23
32,100000,99018,133,182,667,30
33,100000,98985,123,197,695,43
34,100000,98963,113,199,725,32
35,100000,98926,124,198,752,26
36,100000,98895,123,203,779,32
37,100000,98847,138,219,796,33
38,100000,98818,145,218,819,22
39,100000,98777,149,225,849,37
40,100000,98737,158,213,892,31
41,100000,98703,144,229,924,48
42,100000,98667,151,232,950,29
43,100000,98645,132,241,982,41
44,100000,98613,124,248,1015,40
45,100000,98576,127,260,1037,34
46,100000,98554,113,259,1074,36
47,100000,98524,121,250,1105,22
48,100000,98495,118,234,1153,32
49,100000,98467,109,242,1182,37
50,100000,98428,126,223,1223,22
51,100000,98398,126,213,1263,30
52,100000,98376,119,208,1297,29
53,100000,98355,112,200,1333,28
54,100000,98323,105,217,1355,39
55,100000,98286,112,215,1387,30
56,100000,98259,117,200,1424,22
57,100000,98230,125,199,1446,21
58,100000,98194,129,201,1476,32
59,100000,98167,119,209,1505,37
60,100000,98145,114,208,1533,27
61,100000,98110,120,198,1572,29
62,100000,98087,107,204,1602,36
63,100000,98058,109,209,1624,27
64,100000,98037,108,210,1645,22
65,100000,98014,96,213,1677,35
66,100000,97989,98,199,1714,23
67,100000,97948,110,201,1741,29
68,100000,97923,114,193,1770,21
69,100000,97902,112,180,1806,23
70,100000,97873,116,178,1833,25
71,100000,97842,106,197,1855,41
72,100000,97815,108,187,1890,25
73,100000,97793,109,185,1913,21
74,100000,97764,109,185,1942,29
75,100000,97731,111,195,1963,31
76,100000,97700,115,199,1986,27
77,100000,97669,124,196,2011,22
78,100000,97630,134,184,2052,29
79,100000,97593,138,192,2077,33
80,100000,97562,138,202,2098,31
81,100000,97536,133,204,2127,31
82,100000,97503,127,212,2158,39
83,100000,97475,118,222,2185,37
84,100000,97441,121,231,2207,31
85,100000,97414,122,228,2236,26
86,100000,97392,111,228,2269,33
87,100000,97357,118,225,2300,28
88,100000,97320,121,228,2331,34
89,100000,97296,118,216,2370,27
90,100000,97269,123,201,2407,22
91,100000,97233,124,205,2438,35
92,100000,97201,119,216,2464,37
93,100000,97174,122,207,2497,24
94,100000,97154,115,206,2525,27
95,100000,97122,111,208,2559,36
96,100000,97098,103,213,2586,32
97,100000,97065,109,218,2608,27
98,100000,97039,115,203,2643,20
99,100000,97009,113,198,2680,32
100,100000,96986,112,198,2704,24
101,100000,96962,103,204,2731,33
102,100000,96929,110,194,2767,26
103,100000,96899,110,192,2799,30
104,100000,96861,125,188,2826,23
105,100000,96831,131,192,2846,24
106,100000,96803,126,193,2878,33
107,100000,96776,123,199,2902,30
108,100000,96749,112,204,2935,38
109,100000,96717,114,208,2961,30
110,100000,96694,109,206,2991,28
111,100000,96652,124,210,3014,27
112,100000,96625,124,213,3038,27
113,100000,96593,124,212,3071,32
114,100000,96573,121,205,3101,23
115,100000,96542,110,209,3139,42
116,100000,96509,116,206,3169,27
117,100000,96473,120,210,3197,32
118,100000,96451,122,203,3224,20
119,100000,96421,121,207,3251,31
