tick,TotalHumans,Susceptible,Exposed,Infected,Recovered,New Cases per day
1,100000,99996,0,4,0,0
2,100000,99942,54,4,0,0
3,100000,99908,88,4,0,0
4,100000,99876,120,4,0,0
5,100000,99835,161,4,0,0
6,100000,99807,135,58,0,54
7,100000,99780,128,92,0,34
8,100000,99754,122,120,4,32
9,100000,99720,115,161,4,41
10,100000,99695,112,189,4,28
11,100000,99661,119,216,4,27
12,100000,99628,126,242,4,26
13,100000,99601,119,222,58,34
14,100000,99563,132,213,92,25
15,100000,99530,131,215,124,34
16,100000,99496,132,207,165,33
17,100000,99461,140,206,193,27
18,100000,99435,128,217,220,38
19,100000,99410,120,224,246,33
20,100000,99376,120,224,280,34
21,100000,99349,112,234,305,35
22,100000,99318,117,226,339,26
23,100000,99289,121,218,372,25
24,100000,99261,115,225,399,34
25,100000,99227,122,214,437,27
26,100000,99202,116,212,470,31
27,100000,99174,115,207,504,29
28,100000,99142,119,200,539,28
29,100000,99110,117,208,565,34
30,100000,99064,138,208,590,25
31,100000,99026,148,202,624,28
32,100000,98994,148,207,651,32
33,100000,98958,152,208,682,32
34,100000,98932,132,225,711,46
35,100000,98900,126,235,739,38
36,100000,98865,129,233,773,32
37,100000,98835,123,244,798,36
38,100000,98803,129,242,826,26
39,100000,98764,136,242,858,32
40,100000,98734,131,245,890,35
41,100000,98700,135,229,936,30
42,100000,98669,134,223,974,32
43,100000,98637,127,230,1006,39
44,100000,98613,121,224,1042,30
45,100000,98585,115,232,1068,34
46,100000,98555,114,231,1100,31
47,100000,98529,108,228,1135,32
48,100000,98499,114,222,1165,24
49,100000,98479,106,218,1197,28
50,100000,98449,106,209,1236,30
51,100000,98419,110,205,1266,26
52,100000,98378,121,201,1300,30
53,100000,98360,119,190,1331,20
54,100000,98338,111,188,1363,30
55,100000,98309,110,194,1387,30
56,100000,98273,105,207,1415,41
57,100000,98245,115,195,1445,18
58,100000,98210,128,191,1471,22
59,100000,98171,138,190,1501,29
60,100000,98141,132,206,1521,36
61,100000,98116,129,204,1551,28
62,100000,98077,133,209,1581,35
63,100000,98050,121,207,1622,39
64,100000,98011,130,219,1640,30
65,100000,97978,138,222,1662,25
66,100000,97943,134,232,1691,39
67,100000,97910,140,223,1727,27
68,100000,97873,138,234,1755,39
69,100000,97841,137,232,1790,33
70,100000,97804,139,228,1829,35
71,100000,97777,133,231,1859,33
72,100000,97751,122,243,1884,37
73,100000,97714,127,236,1923,32
74,100000,97684,120,246,1950,37
75,100000,97654,123,234,1989,27
76,100000,97621,130,227,2022,26
77,100000,97598,116,229,2057,37
78,100000,97569,115,226,2090,30
79,100000,97545,109,219,2127,30
80,100000,97522,99,220,2159,33
81,100000,97483,115,206,2196,23
82,100000,97444,125,208,2223,29
83,100000,97415,130,206,2249,24
84,100000,97389,133,192,2286,23
85,100000,97359,124,201,2316,39
86,100000,97314,130,210,2346,39
87,100000,97286,129,206,2379,29
88,100000,97261,128,209,2402,26
89,100000,97232,127,210,2431,30
90,100000,97199,115,231,2455,45
91,100000,97166,120,236,2478,28
92,100000,97134,127,222,2517,25
93,100000,97098,134,212,2556,29
94,100000,97073,126,216,2585,33
95,100000,97044,122,223,2611,33
96,100000,97022,112,225,2641,32
97,100000,96988,110,216,2686,36
98,100000,96961,112,213,2714,25
99,100000,96926,118,217,2739,29
100,100000,96893,129,210,2768,22
101,100000,96862,126,211,2801,34
102,100000,96832,129,205,2834,27
103,100000,96802,124,208,2866,35
104,100000,96783,110,205,2902,33
105,100000,96755,107,211,2927,31
106,100000,96727,105,212,2956,30
107,100000,96707,95,220,2978,30
108,100000,96683,100,205,3012,19
109,100000,96657,98,206,3039,28
110,100000,96635,92,199,3074,28
111,100000,96598,109,186,3107,20
112,100000,96568,115,179,3138,24
113,100000,96538,119,175,3168,26
114,100000,96505,130,167,3198,22
115,100000,96482,116,185,3217,37
116,100000,96443,125,187,3245,30
117,100000,96422,116,189,3273,30
118,100000,96394,111,202,3293,33
119,100000,96367,115,201,3317,23
120,100000,96338,105,214,3343,39
121,100000,96309,113,213,3365,21
122,100000,96272,122,204,3402,28
123,100000,96247,120,201,3432,27
124,100000,96229,109,200,3462,29
125,100000,96204,105,196,3495,29
126,100000,96178,94,210,3518,37
127,100000,96147,100,196,3557,25
128,100000,96116,113,193,3578,18
129,100000,96086,118,190,3606,25
130,100000,96061,117,189,3633,26
131,100000,96035,112,191,3662,31
132,100000,96008,108,193,3691,31
133,100000,95977,109,186,3728,30
134,100000,95947,114,186,3753,25
135,100000,95913,122,194,3771,26
136,100000,95883,125,196,3796,27
137,100000,95867,110,201,3822,31
138,100000,95844,103,200,3853,30
139,100000,95813,100,203,3884,34
140,100000,95773,110,203,3914,30
141,100000,95750,117,194,3939,16
142,100000,95721,123,191,3965,23
143,100000,95698,115,195,3992,31
144,100000,95668,105,204,4023,40
145,100000,95637,113,197,4053,23
146,100000,95604,117,192,4087,29
147,100000,95573,125,185,4117,23
148,100000,95544,124,199,4133,30
149,100000,95507,130,207,4156,31
150,100000,95484,120,209,4187,33
151,100000,95454,119,200,4227,31
152,100000,95418,126,206,4250,29
153,100000,95386,121,214,4279,37
154,100000,95361,123,214,4302,23
155,100000,95331,123,214,4332,30
156,100000,95299,119,219,4363,36
157,100000,95268,118,218,4396,32
158,100000,95249,112,212,4427,25
159,100000,95217,114,213,4456,30
160,100000,95182,117,208,4493,32
161,100000,95157,111,216,4516,31
162,100000,95127,122,205,4546,19
163,100000,95103,114,201,4582,32
164,100000,95071,111,204,4614,35
165,100000,95045,112,204,4639,25
166,100000,95013,114,204,4669,30
167,100000,94989,114,196,4701,24
168,100000,94967,104,197,4732,32
169,100000,94938,107,204,4751,26
170,100000,94913,100,204,4783,32
171,100000,94880,109,193,4818,24
172,100000,94842,125,190,4843,22
173,100000,94812,126,189,4873,29
174,100000,94786,127,190,4897,25
175,100000,94755,125,191,4929,33
176,100000,94726,116,203,4955,38
177,100000,94698,114,201,4987,30
178,100000,94666,120,203,5011,26
179,100000,94641,114,212,5033,31
180,100000,94599,127,212,5062,29
181,100000,94566,132,215,5087,28
182,100000,94542,124,214,5120,32
183,100000,94500,141,201,5158,25
184,100000,94471,128,213,5188,42
185,100000,94442,124,220,5214,33
186,100000,94411,131,213,5245,24
187,100000,94385,115,226,5274,42
188,100000,94363,108,227,5302,29
189,100000,94339,103,224,5334,29
190,100000,94310,101,230,5359,31
191,100000,94283,102,214,5401,26
192,100000,94256,107,203,5434,22
193,100000,94232,107,203,5458,24
194,100000,94198,112,190,5500,29
195,100000,94166,117,188,5529,27
196,100000,94129,127,186,5558,27
197,100000,94091,141,179,5589,24
198,100000,94063,135,187,5615,34
199,100000,94043,123,197,5637,32
200,100000,94015,114,210,5661,37
201,100000,93991,100,219,5690,38
202,100000,93960,103,220,5717,28
203,100000,93931,112,213,5744,20
204,100000,93903,112,217,5768,28
205,100000,93873,118,207,5802,24
206,100000,93846,114,206,5834,31
207,100000,93815,116,198,5871,29
208,100000,93789,114,188,5909,28
209,100000,93754,119,190,5937,30
210,100000,93724,122,197,5957,27
211,100000,93700,115,200,5985,31
212,100000,93686,103,202,6009,26
213,100000,93651,103,206,6040,35
214,100000,93620,104,207,6069,30
215,100000,93592,108,203,6097,24
216,100000,93567,119,187,6127,14
217,100000,93541,110,195,6154,35
218,100000,93524,96,195,6185,31
219,100000,93500,92,197,6211,28
220,100000,93474,93,187,6246,25
221,100000,93448,93,183,6276,26
222,100000,93419,105,176,6300,17
223,100000,93399,101,186,6314,24
224,100000,93375,99,177,6349,26
225,100000,93350,98,172,6380,26
226,100000,93316,103,173,6408,29
227,100000,93296,103,168,6433,20
228,100000,93269,106,166,6459,24
229,100000,93243,107,174,6476,25
230,100000,93211,105,184,6500,34
231,100000,93178,118,178,6526,20
232,100000,93148,121,179,6552,27
233,100000,93112,131,176,6581,26
234,100000,93093,118,188,6601,32
235,100000,93066,112,197,6625,33
236,100000,93045,103,202,6650,30
237,100000,93019,93,204,6684,36
238,100000,92995,98,203,6704,19
239,100000,92975,91,203,6731,27
240,100000,92944,101,198,6757,21
241,100000,92916,103,192,6789,26
242,100000,92886,109,183,6822,24
243,100000,92856,119,173,6852,20
244,100000,92823,121,168,6888,31
245,100000,92798,118,177,6907,28
246,100000,92779,107,180,6934,30
247,100000,92750,106,189,6955,30
248,100000,92729,94,196,6981,33
249,100000,92703,95,197,7005,25
250,100000,92679,100,196,7025,19
251,100000,92662,88,194,7056,29
252,100000,92642,87,187,7084,21
253,100000,92620,83,183,7114,26
254,100000,92596,83,177,7144,24
255,100000,92572,90,161,7177,17
256,100000,92548,94,156,7202,20
257,100000,92526,94,159,7221,22
258,100000,92509,87,154,7250,24
259,100000,92488,84,157,7271,24
260,100000,92469,79,155,7297,24
261,100000,92445,81,153,7321,22
262,100000,92415,94,153,7338,17
263,100000,92383,105,154,7358,21
264,100000,92355,114,151,7380,19
265,100000,92323,122,151,7404,24
266,100000,92299,116,157,7428,30
267,100000,92277,106,165,7452,32
268,100000,92245,110,171,7474,28
269,100000,92213,110,186,7491,32
270,100000,92186,113,189,7512,24
271,100000,92159,118,192,7531,22
272,100000,92135,110,200,7555,32
273,100000,92111,102,202,7585,32
274,100000,92082,104,197,7617,27
275,100000,92059,100,196,7645,27
276,100000,92033,102,188,7677,24
277,100000,91998,113,188,7701,24
278,100000,91975,107,195,7723,29
279,100000,91949,110,186,7755,23
280,100000,91933,100,180,7787,26
281,100000,91909,89,188,7814,35
282,100000,91882,93,184,7841,23
283,100000,91856,93,186,7865,26
284,100000,91834,99,178,7889,16
285,100000,91811,98,173,7918,24
286,100000,91792,90,177,7941,27
287,100000,91763,93,177,7967,26
288,100000,91736,98,164,8002,22
289,100000,91716,95,164,8025,23
290,100000,91686,106,157,8051,19
