tick,TotalHumans,Susceptible,Exposed,Infected,Recovered,New Cases per day
1,100000,99996,0,4,0,0
2,100000,99951,45,4,0,0
3,100000,99922,74,4,0,0
4,100000,99878,118,4,0,0
5,100000,99846,150,4,0,0
6,100000,99812,139,49,0,45
7,100000,99775,147,78,0,29
8,100000,99752,126,118,4,44
9,100000,99711,135,150,4,32
10,100000,99672,140,184,4,34
11,100000,99632,143,221,4,37
12,100000,99597,155,244,4,23
13,100000,99566,145,240,49,41
14,100000,99533,139,250,78,39
15,100000,99498,134,246,122,40
16,100000,99468,129,249,154,35
17,100000,99437,129,246,188,31
18,100000,99403,130,242,225,33
19,100000,99365,133,254,248,35
20,100000,99332,136,243,289,30
21,100000,99296,141,235,328,31
22,100000,99266,137,229,368,34
23,100000,99235,130,232,403,38
24,100000,99204,128,234,434,33
25,100000,99172,124,237,467,36
26,100000,99142,124,232,502,30
27,100000,99107,128,233,532,31
28,100000,99074,130,233,563,31
29,100000,99039,133,231,597,32
30,100000,99015,127,223,635,30
31,100000,98988,119,225,668,35
32,100000,98959,115,222,704,33
33,100000,98923,116,227,734,35
34,100000,98902,113,220,765,24
35,100000,98868,120,216,796,27
36,100000,98842,117,213,828,29
37,100000,98810,113,219,858,36
38,100000,98773,129,205,893,21
39,100000,98745,123,206,926,34
40,100000,98714,128,197,961,26
41,100000,98687,123,205,985,32
42,100000,98653,120,215,1012,37
43,100000,98616,129,214,1041,28
44,100000,98581,133,209,1077,31
45,100000,98549,138,215,1098,27
46,100000,98517,136,215,1132,34
47,100000,98485,131,226,1158,37
48,100000,98456,125,229,1190,35
49,100000,98428,121,224,1227,32
50,100000,98403,114,228,1255,32
51,100000,98372,113,229,1286,32
52,100000,98332,124,231,1313,29
53,100000,98304,124,225,1347,28
54,100000,98274,129,213,1384,25
55,100000,98245,127,209,1419,31
56,100000,98221,111,217,1451,40
57,100000,98187,117,213,1483,28
58,100000,98159,115,211,1515,30
59,100000,98128,117,211,1544,29
60,100000,98093,128,207,1572,24
61,100000,98056,131,216,1597,34
62,100000,98021,138,213,1628,28
63,100000,97989,139,204,1668,31
64,100000,97966,127,211,1696,35
65,100000,97939,117,218,1726,37
66,100000,97912,109,224,1755,35
67,100000,97878,111,232,1779,32
68,100000,97851,115,221,1813,23
69,100000,97830,109,220,1841,27
70,100000,97808,104,216,1872,27
71,100000,97778,100,215,1907,34
72,100000,97754,97,205,1944,27
73,100000,97719,111,191,1979,21
74,100000,97692,116,181,2011,22
75,100000,97648,130,188,2034,30
76,100000,97621,133,185,2061,24
77,100000,97593,126,193,2088,35
78,100000,97548,144,186,2122,27
79,100000,97520,128,203,2149,44
80,100000,97499,122,209,2170,27
81,100000,97468,125,215,2192,28
82,100000,97437,111,230,2222,45
83,100000,97394,126,234,2246,28
84,100000,97368,131,220,2281,21
85,100000,97335,133,224,2308,31
86,100000,97310,127,211,2352,31
87,100000,97291,103,227,2379,43
88,100000,97265,103,225,2407,26
89,100000,97231,104,213,2452,33
90,100000,97202,108,210,2480,25
91,100000,97181,110,208,2501,19
92,100000,97137,128,203,2532,26
93,100000,97102,129,206,2563,34
94,100000,97082,120,192,2606,29
95,100000,97051,130,187,2632,21
96,100000,97020,117,198,2665,44
97,100000,96987,115,208,2690,35
98,100000,96957,125,209,2709,20
99,100000,96915,136,214,2735,31
100,100000,96886,134,211,2769,31
101,100000,96860,127,215,2798,33
102,100000,96831,126,224,2819,30
103,100000,96801,114,222,2863,42
104,100000,96773,113,216,2898,29
105,100000,96740,120,222,2918,26
106,100000,96706,125,220,2949,29
107,100000,96682,119,219,2980,30
108,100000,96647,126,214,3013,28
109,100000,96609,131,217,3043,33
110,100000,96578,128,209,3085,34
111,100000,96547,135,204,3114,24
112,100000,96520,127,213,3140,35
113,100000,96480,129,222,3169,38
114,100000,96456,122,223,3199,31
115,100000,96417,130,226,3227,31
116,100000,96386,134,220,3260,27
117,100000,96364,116,226,3294,40
118,100000,96337,119,226,3318,24
119,100000,96311,106,230,3353,39
120,100000,96283,103,223,3391,31
121,100000,96257,107,214,3422,22
122,100000,96230,107,210,3453,27
123,100000,96198,113,209,3480,26
124,100000,96166,117,197,3520,28
125,100000,96133,124,199,3544,26
126,100000,96112,118,187,3583,27
127,100000,96090,108,188,3614,32
128,100000,96051,115,198,3636,32
129,100000,96029,104,204,3663,33
130,100000,95996,116,199,3689,21
131,100000,95966,124,193,3717,22
132,100000,95943,108,206,3743,39
133,100000,95918,111,201,3770,22
134,100000,95892,104,202,3802,33
135,100000,95871,95,200,3834,30
136,100000,95840,103,190,3867,23
137,100000,95811,107,194,3888,25
138,100000,95783,109,198,3910,26
139,100000,95755,116,180,3949,21
140,100000,95732,108,189,3971,31
141,100000,95705,106,185,4004,29
142,100000,95675,108,183,4034,28
143,100000,95653,102,188,4057,28
144,100000,95629,103,186,4082,23
145,100000,95593,112,187,4108,27
146,100000,95559,116,196,4129,30
147,100000,95530,123,187,4160,22
148,100000,95507,122,182,4189,24
149,100000,95477,116,190,4217,36
150,100000,95452,107,196,4245,34
151,100000,95422,108,202,4268,29
152,100000,95394,113,198,4295,23
153,100000,95363,114,198,4325,30
154,100000,95329,123,201,4347,25
155,100000,95307,115,207,4371,30
156,100000,95279,115,199,4407,28
157,100000,95255,108,196,4441,31
158,100000,95229,100,201,4470,34
159,100000,95201,106,200,4493,22
160,100000,95174,105,198,4523,28
161,100000,95144,111,197,4548,24
162,100000,95110,119,193,4578,26
163,100000,95087,114,193,4606,28
164,100000,95062,112,189,4637,27
165,100000,95030,114,185,4671,30
166,100000,95007,103,197,4693,34
167,100000,94975,112,192,4721,23
168,100000,94947,115,193,4745,25
169,100000,94920,110,199,4771,32
170,100000,94893,114,194,4799,23
171,100000,94860,115,199,4826,32
172,100000,94834,113,197,4856,28
173,100000,94810,110,190,4890,27
174,100000,94778,115,194,4913,27
175,100000,94750,110,202,4938,33
176,100000,94729,105,196,4970,26
177,100000,94708,102,197,4993,24
178,100000,94680,98,197,5025,32
179,100000,94644,106,197,5053,28
180,100000,94620,109,191,5080,21
181,100000,94592,116,185,5107,21
182,100000,94569,111,180,5140,28
183,100000,94547,97,190,5166,36
184,100000,94518,102,190,5190,24
185,100000,94491,101,186,5222,28
186,100000,94456,113,181,5250,23
187,100000,94420,127,182,5271,22
188,100000,94403,115,190,5292,29
189,100000,94359,132,189,5320,27
190,100000,94328,128,188,5356,35
191,100000,94301,119,200,5380,36
192,100000,94274,129,189,5408,17
193,100000,94244,115,210,5431,44
194,100000,94215,113,219,5453,31
195,100000,94190,111,217,5482,27
196,100000,94161,113,217,5509,27
197,100000,94140,104,212,5544,30
198,100000,94113,102,205,5580,29
199,100000,94091,99,213,5597,25
200,100000,94063,98,198,5641,29
201,100000,94034,106,188,5672,21
202,100000,93996,117,188,5699,27
203,100000,93970,121,183,5726,22
204,100000,93954,109,181,5756,28
205,100000,93928,106,181,5785,29
206,100000,93900,96,194,5810,38
207,100000,93871,99,191,5839,26
208,100000,93844,110,186,5860,16
209,100000,93819,109,185,5887,26
210,100000,93784,116,191,5909,28
211,100000,93756,115,192,5937,29
212,100000,93727,117,190,5966,27
213,100000,93698,121,177,6004,25
214,100000,93670,114,186,6030,35
215,100000,93635,121,198,6046,28
216,100000,93603,124,201,6072,29
217,100000,93581,117,202,6100,29
218,100000,93556,114,201,6129,28
219,100000,93524,111,209,6156,35
220,100000,93504,99,216,6181,32
221,100000,93478,103,203,6216,22
222,100000,93457,99,200,6244,25
223,100000,93428,96,203,6273,32
224,100000,93405,99,194,6302,20
225,100000,93376,102,192,6330,26
226,100000,93345,112,178,6365,21
227,100000,93323,105,175,6397,29
228,100000,93296,109,176,6419,23
229,100000,93273,103,180,6444,29
230,100000,93255,90,179,6476,31
231,100000,93224,99,181,6496,22
232,100000,93200,96,182,6522,27
233,100000,93173,100,184,6543,23
234,100000,93145,110,173,6572,18
235,100000,93115,109,181,6595,31
236,100000,93095,105,176,6624,24
237,100000,93074,99,172,6655,27
238,100000,93053,92,178,6677,28
239,100000,93031,84,181,6704,30
240,100000,93004,91,178,6727,20
241,100000,92977,97,181,6745,21
242,100000,92946,107,171,6776,21
243,100000,92927,104,169,6800,22
244,100000,92902,102,169,6827,27
245,100000,92876,101,168,6855,27
246,100000,92852,94,169,6885,31
247,100000,92822,105,168,6905,19
248,100000,92798,104,172,6926,25
249,100000,92775,101,177,6947,26
250,100000,92752,100,179,6969,24
251,100000,92736,86,182,6996,30
252,100000,92707,91,179,7023,24
253,100000,92689,86,171,7054,23
254,100000,92661,91,175,7073,23
255,100000,92636,100,166,7098,16
256,100000,92605,102,169,7124,29
257,100000,92565,124,163,7148,18
258,100000,92542,119,161,7178,28
259,100000,92517,119,162,7202,25
260,100000,92492,113,170,7225,31
261,100000,92470,95,187,7248,40
262,100000,92443,99,194,7264,23
263,100000,92408,109,190,7293,25
264,100000,92386,106,197,7311,25
265,100000,92357,113,191,7339,22
266,100000,92335,108,193,7364,27
267,100000,92319,89,197,7395,35
268,100000,92285,101,179,7435,22
269,100000,92270,87,185,7458,29
270,100000,92246,89,182,7483,22
271,100000,92221,98,173,7508,16
272,100000,92196,89,185,7530,34
273,100000,92163,107,173,7557,15
274,100000,92141,105,162,7592,24
275,100000,92110,111,165,7614,25
276,100000,92084,112,161,7643,25
277,100000,92051,112,172,7665,33
278,100000,92025,116,178,7681,22
279,100000,91999,111,175,7715,31
280,100000,91973,111,186,7730,26
281,100000,91943,108,195,7754,33
282,100000,91919,106,196,7779,26
283,100000,91887,112,197,7804,26
284,100000,91865,108,190,7837,26
285,100000,91847,96,198,7859,30
286,100000,91829,90,191,7890,24
287,100000,91796,91,197,7916,32
288,100000,91772,93,186,7949,22
289,100000,91749,98,178,7975,18
290,100000,91723,106,170,8001,18
291,100000,91697,99,177,8027,33
292,100000,91677,95,171,8057,24
293,100000,91650,99,170,8081,23
294,100000,91623,100,164,8113,26
295,100000,91601,96,168,8135,26
296,100000,91573,104,170,8153,20
297,100000,91555,95,179,8171,27
298,100000,91528,95,173,8204,27
299,100000,91497,104,171,8228,22
300,100000,91472,101,176,8251,28
301,100000,91445,110,168,8277,18
302,100000,91423,105,169,8303,27
303,100000,91401,96,180,8323,31
304,100000,91380,92,178,8350,25
305,100000,91356,89,178,8377,27
306,100000,91325,98,178,8399,22
307,100000,91301,100,172,8427,22
308,100000,91269,111,175,8445,21
309,100000,91247,109,172,8472,24
310,100000,91214,111,172,8503,31
311,100000,91186,115,171,8528,24
312,100000,91170,99,176,8555,32
313,100000,91152,95,176,8577,22
314,100000,91130,84,187,8599,33
315,100000,91107,79,194,8620,28
316,100000,91081,89,186,8644,16
317,100000,91057,95,173,8675,18
318,100000,91034,96,171,8699,22
319,100000,91002,105,162,8731,23
320,100000,90978,103,166,8753,26
321,100000,90947,110,157,8786,24
322,100000,90915,119,152,8814,23
323,100000,90897,105,168,8830,32
324,100000,90874,104,174,8848,24
325,100000,90853,94,183,8870,31
326,100000,90829,86,192,8893,32
327,100000,90797,100,184,8919,18
328,100000,90777,97,183,8943,23
329,100000,90759,94,181,8966,21
330,100000,90733,96,173,8998,24
331,100000,90716,81,181,9022,32
332,100000,90692,85,170,9053,20
333,100000,90664,95,156,9085,18
334,100000,90641,92,164,9103,26
335,100000,90616,100,158,9126,17
336,100000,90594,98,161,9147,24
337,100000,90565,99,165,9171,28
338,100000,90548,93,156,9203,23
339,100000,90529,87,161,9223,25
340,100000,90501,93,165,9241,22
341,100000,90476,89,168,9267,29
342,100000,90456,92,168,9284,17
343,100000,90427,102,163,9308,19
344,100000,90406,95,163,9336,28
345,100000,90381,95,165,9359,25
346,100000,90364,92,160,9384,20
347,100000,90341,86,167,9406,29
348,100000,90322,84,159,9435,21
349,100000,90297,84,167,9452,25
350,100000,90278,86,165,9471,17
351,100000,90258,83,160,9499,23
352,100000,90237,85,154,9524,19
353,100000,90211,86,159,9544,25
354,100000,90187,91,149,9573,19
355,100000,90160,98,148,9594,20
356,100000,90139,98,144,9619,21
357,100000,90108,103,153,9636,26
358,100000,90082,105,154,9659,24
359,100000,90052,108,162,9678,27
360,100000,90031,108,158,9703,21
361,100000,90003,105,170,9722,31
362,100000,89979,103,176,9742,26
363,100000,89953,99,185,9763,30
364,100000,89929,102,180,9789,21
365,100000,89903,100,184,9813,28
