tick,TotalHumans,Susceptible,Exposed,Infected,Recovered,New Cases per day
1,100000,99996,0,4,0,0
2,100000,99958,38,4,0,0
3,100000,99933,63,4,0,0
4,100000,99911,85,4,0,0
5,100000,99870,126,4,0,0
6,100000,99839,119,42,0,38
7,100000,99798,135,67,0,25
8,100000,99776,135,85,4,22
9,100000,99750,120,126,4,41
10,100000,99719,120,157,4,31
11,100000,99683,115,198,4,41
12,100000,99638,138,220,4,22
13,100000,99602,148,208,42,26
14,100000,99568,151,214,67,31
15,100000,99538,145,228,89,36
16,100000,99507,131,232,130,45
17,100000,99480,122,237,161,36
18,100000,99447,121,230,202,34
19,100000,99423,115,238,224,30
20,100000,99401,106,243,250,31
21,100000,99359,121,239,281,27
22,100000,99338,109,236,317,33
23,100000,99309,114,215,362,24
24,100000,99273,128,201,398,22
25,100000,99249,110,209,432,42
26,100000,99214,124,200,462,21
27,100000,99180,129,198,493,29
28,100000,99142,131,207,520,36
29,100000,99109,140,198,553,24
30,100000,99082,132,209,577,35
31,100000,99053,127,221,599,34
32,100000,99020,122,217,641,38
33,100000,98996,113,229,662,33
34,100000,98965,117,227,691,27
35,100000,98944,109,220,727,29
36,100000,98910,110,229,751,33
37,100000,98881,115,218,786,24
38,100000,98855,110,215,820,31
39,100000,98817,127,198,858,21
40,100000,98780,130,199,891,34
41,100000,98747,134,201,918,29
42,100000,98722,133,198,947,26
43,100000,98695,122,203,980,38
44,100000,98666,114,216,1004,37
45,100000,98630,117,218,1035,33
46,100000,98604,118,222,1056,25
47,100000,98580,115,215,1090,27
48,100000,98548,118,215,1119,29
49,100000,98519,111,225,1145,36
50,100000,98485,119,213,1183,26
51,100000,98454,126,200,1220,24
52,100000,98420,128,199,1253,32
53,100000,98391,128,203,1278,29
54,100000,98365,120,210,1305,34
55,100000,98327,127,212,1334,31
56,100000,98298,122,210,1370,34
57,100000,98265,126,213,1396,29
58,100000,98238,127,215,1420,26
59,100000,98208,119,221,1452,38
60,100000,98178,120,221,1481,29
61,100000,98151,114,220,1515,33
62,100000,98118,120,216,1546,27
63,100000,98076,132,212,1580,30
64,100000,98041,137,213,1609,30
65,100000,98002,149,214,1635,27
66,100000,97976,142,209,1673,33
67,100000,97950,126,222,1702,42
68,100000,97924,117,224,1735,35
69,100000,97894,108,236,1762,39
70,100000,97861,115,232,1792,26
71,100000,97824,126,228,1822,26
72,100000,97797,127,227,1849,26
73,100000,97774,120,224,1882,30
74,100000,97753,108,215,1924,33
75,100000,97728,96,217,1959,37
76,100000,97696,101,205,1998,27
77,100000,97672,102,202,2024,23
78,100000,97638,115,197,2050,21
79,100000,97608,120,196,2076,25
80,100000,97573,123,198,2106,32
81,100000,97552,120,189,2139,24
82,100000,97533,105,186,2176,34
83,100000,97494,114,189,2203,30
84,100000,97451,122,201,2226,35
85,100000,97419,133,201,2247,21
86,100000,97403,130,195,2272,19
87,100000,97370,124,202,2304,39
88,100000,97335,116,221,2328,43
89,100000,97309,110,219,2362,32
90,100000,97281,122,205,2392,16
91,100000,97254,116,203,2427,33
92,100000,97228,107,217,2448,35
93,100000,97198,111,224,2467,26
94,100000,97165,116,213,2506,28
95,100000,97129,125,197,2549,27
96,100000,97103,125,191,2581,26
97,100000,97066,132,205,2597,30
98,100000,97041,124,205,2630,33
99,100000,97015,114,206,2665,36
100,100000,96980,123,206,2691,26
101,100000,96950,116,215,2719,37
102,100000,96921,120,213,2746,25
103,100000,96894,121,213,2772,26
104,100000,96868,112,218,2802,35
105,100000,96841,109,215,2835,30
106,100000,96806,115,208,2871,29
107,100000,96778,116,209,2897,27
108,100000,96743,125,198,2934,26
109,100000,96710,131,200,2959,27
110,100000,96683,123,209,2985,35
111,100000,96658,120,202,3020,28
112,100000,96620,123,207,3050,35
113,100000,96579,131,211,3079,33
114,100000,96555,128,211,3106,27
115,100000,96530,128,210,3132,25
116,100000,96501,119,221,3159,38
117,100000,96481,98,227,3194,41
118,100000,96450,105,223,3222,24
119,100000,96420,110,213,3257,25
120,100000,96385,116,209,3290,29
121,100000,96361,120,202,3317,20
122,100000,96331,119,208,3342,31
123,100000,96298,122,200,3380,30
124,100000,96270,115,194,3421,35
125,100000,96243,118,194,3445,24
126,100000,96211,120,199,3470,30
127,100000,96178,120,203,3499,33
128,100000,96158,112,211,3519,28
129,100000,96132,111,207,3550,27
130,100000,96095,116,209,3580,32
131,100000,96070,108,207,3615,33
132,100000,96044,114,203,3639,20
133,100000,96012,120,199,3669,26
134,100000,95980,115,203,3702,37
135,100000,95942,128,200,3730,25
136,100000,95917,127,199,3757,26
137,100000,95887,125,199,3789,32
138,100000,95860,120,198,3822,32
139,100000,95839,103,216,3842,38
140,100000,95822,95,215,3868,25
141,100000,95792,95,208,3905,30
142,100000,95759,101,210,3930,27
143,100000,95725,114,205,3956,21
144,100000,95703,119,190,3988,17
145,100000,95681,111,188,4020,30
146,100000,95655,104,183,4058,33
147,100000,95627,98,192,4083,34
148,100000,95597,106,184,4113,22
149,100000,95567,114,179,4140,22
150,100000,95537,118,184,4161,26
151,100000,95505,122,195,4178,28
152,100000,95485,112,195,4208,30
153,100000,95464,103,192,4241,30
154,100000,95440,97,188,4275,30
155,100000,95413,92,198,4297,32
156,100000,95381,104,196,4319,20
157,100000,95350,114,191,4345,21
158,100000,95319,121,187,4373,24
159,100000,95290,123,184,4403,27
160,100000,95264,117,186,4433,32
161,100000,95231,119,187,4463,31
162,100000,95192,127,186,4495,31
163,100000,95167,123,195,4515,29
164,100000,95129,135,200,4536,26
165,100000,95103,128,209,4560,33
166,100000,95072,120,221,4587,39
167,100000,95046,121,214,4619,25
168,100000,95027,102,221,4650,38
169,100000,94995,108,216,4681,26
170,100000,94971,101,218,4710,31
171,100000,94940,106,218,4736,26
172,100000,94916,111,204,4769,19
173,100000,94880,115,197,4808,32
174,100000,94855,116,196,4833,24
175,100000,94826,114,189,4871,31
176,100000,94801,115,187,4897,24
177,100000,94774,106,192,4928,36
178,100000,94748,107,191,4954,25
179,100000,94724,102,201,4973,29
180,100000,94700,101,194,5005,25
181,100000,94662,112,197,5029,27
182,100000,94642,106,192,5060,26
183,100000,94623,101,192,5084,24
184,100000,94592,108,180,5120,24
185,100000,94570,92,193,5145,38
186,100000,94540,102,184,5174,20
187,100000,94523,100,178,5199,19
188,100000,94502,90,182,5226,31
189,100000,94472,98,178,5252,22
190,100000,94431,109,184,5276,30
191,100000,94405,118,177,5300,17
192,100000,94391,111,160,5338,21
193,100000,94370,102,170,5358,30
194,100000,94343,88,192,5377,41
195,100000,94312,93,187,5408,26
196,100000,94288,103,179,5430,14
197,100000,94259,111,170,5460,21
198,100000,94243,100,180,5477,27
