tick,TotalHumans,Susceptible,Exposed,Infected,Recovered,New Cases per day
1,100000,99996,0,4,0,0
2,100000,99936,60,4,0,0
3,100000,99898,98,4,0,0
4,100000,99864,132,4,0,0
5,100000,99827,169,4,0,0
6,100000,99794,142,64,0,60
7,100000,99767,131,102,0,38
8,100000,99737,127,132,4,34
9,100000,99709,118,169,4,37
10,100000,99674,120,202,4,33
11,100000,99643,124,229,4,27
12,100000,99606,131,259,4,30
13,100000,99576,133,227,64,28
14,100000,99544,130,224,102,35
15,100000,99508,135,221,136,31
16,100000,99480,126,221,173,37
17,100000,99440,136,218,206,30
18,100000,99404,140,223,233,32
19,100000,99376,132,229,263,36
20,100000,99330,150,229,291,28
21,100000,99302,138,234,326,40
22,100000,99271,133,239,357,36
23,100000,99235,141,230,394,28
24,100000,99207,123,246,424,46
25,100000,99172,130,242,456,28
26,100000,99149,122,237,492,31
27,100000,99116,119,245,520,36
28,100000,99078,129,233,560,28
29,100000,99042,130,232,596,35
30,100000,99013,136,227,624,23
31,100000,98981,135,214,670,33
32,100000,98948,130,224,698,38
33,100000,98915,127,229,729,36
34,100000,98893,120,222,765,29
35,100000,98854,127,226,793,32
36,100000,98823,125,224,828,33
37,100000,98783,132,234,851,33
38,100000,98749,144,223,884,22
39,100000,98722,132,224,922,39
40,100000,98679,144,219,958,31
41,100000,98652,131,230,987,40
42,100000,98622,127,232,1019,34
43,100000,98586,136,226,1052,27
44,100000,98548,131,236,1085,43
45,100000,98519,133,241,1107,27
46,100000,98486,136,232,1146,30
47,100000,98453,133,237,1177,36
48,100000,98425,123,235,1217,38
49,100000,98382,137,230,1251,29
50,100000,98345,141,236,1278,33
51,100000,98311,142,226,1321,33
52,100000,98273,152,227,1348,28
53,100000,98244,138,240,1378,43
54,100000,98204,141,241,1414,37
55,100000,98175,136,237,1452,34
56,100000,98143,130,246,1481,38
57,100000,98117,127,242,1514,29
58,100000,98085,119,249,1547,40
59,100000,98051,124,250,1575,29
60,100000,98016,127,239,1618,32
61,100000,97981,136,228,1655,26
62,100000,97946,139,226,1689,32
63,100000,97911,140,222,1727,34
64,100000,97879,137,228,1756,35
65,100000,97846,135,223,1796,35
66,100000,97814,132,229,1825,35
67,100000,97791,120,232,1857,35
68,100000,97755,124,238,1883,32
69,100000,97724,122,239,1915,33
70,100000,97685,129,237,1949,32
71,100000,97650,141,225,1984,23
72,100000,97616,139,226,2019,36
73,100000,97585,139,222,2054,31
74,100000,97557,128,226,2089,39
75,100000,97528,122,229,2121,35
76,100000,97497,119,230,2154,34
77,100000,97468,117,229,2186,31
78,100000,97427,130,234,2209,28
79,100000,97401,127,227,2245,29
80,100000,97370,127,227,2276,31
81,100000,97337,131,217,2315,29
82,100000,97307,120,223,2350,41
83,100000,97268,133,215,2384,26
84,100000,97240,130,215,2415,31
85,100000,97208,129,220,2443,33
86,100000,97176,131,221,2472,30
87,100000,97145,123,229,2503,39
88,100000,97122,118,228,2532,28
89,100000,97102,106,219,2573,32
90,100000,97074,102,225,2599,32
91,100000,97046,99,225,2630,31
92,100000,97009,113,215,2663,23
93,100000,96983,119,205,2693,20
94,100000,96943,131,194,2732,28
95,100000,96911,135,194,2760,28
96,100000,96882,127,199,2792,37
97,100000,96849,134,193,2824,26
98,100000,96827,116,202,2855,40
99,100000,96804,107,211,2878,32
100,100000,96778,104,220,2898,29
101,100000,96751,98,225,2926,33
102,100000,96715,112,219,2954,22
103,100000,96678,126,205,2991,23
104,100000,96646,132,205,3017,26
105,100000,96624,127,192,3057,27
106,100000,96593,122,196,3089,36
107,100000,96574,104,204,3118,37
108,100000,96547,99,203,3151,32
109,100000,96517,107,203,3173,22
110,100000,96489,104,211,3196,31
111,100000,96463,111,204,3222,19
112,100000,96428,119,204,3249,27
113,100000,96409,108,198,3285,30
