tick,TotalHumans,Susceptible,Exposed,Infected,Recovered,New Cases per day
1,100000,99997,0,3,0,0
2,100000,99939,58,3,0,0
3,100000,99897,100,3,0,0
4,100000,99872,125,3,0,0
5,100000,99839,158,3,0,0
6,100000,99818,121,61,0,58
7,100000,99793,104,103,0,42
8,100000,99761,111,125,3,25
9,100000,99722,117,158,3,33
10,100000,99682,136,179,3,21
11,100000,99645,148,204,3,25
12,100000,99615,146,236,3,32
13,100000,99591,131,217,61,39
14,100000,99553,129,215,103,40
15,100000,99524,121,227,128,37
16,100000,99488,127,224,161,30
17,100000,99449,142,227,182,24
18,100000,99418,135,240,207,38
19,100000,99396,128,237,239,29
20,100000,99368,120,234,278,36
21,100000,99333,116,233,318,39
22,100000,99301,117,227,355,31
23,100000,99262,134,219,385,22
24,100000,99228,140,223,409,28
25,100000,99200,133,220,447,35
26,100000,99172,129,223,476,32
27,100000,99131,131,226,512,39
28,100000,99101,127,221,551,34
29,100000,99082,118,218,582,28
30,100000,99053,119,224,604,28
31,100000,99018,113,237,632,41
32,100000,98988,113,232,667,30
33,100000,98967,115,219,699,19
34,100000,98935,118,209,738,29
35,100000,98904,114,210,772,35
36,100000,98872,116,212,800,30
37,100000,98848,119,205,828,21
38,100000,98816,119,196,869,32
39,100000,98787,117,197,899,31
40,100000,98756,116,210,918,32
41,100000,98730,118,205,947,24
42,100000,98694,122,202,982,32
43,100000,98652,135,201,1012,29
44,100000,98612,144,211,1033,31
45,100000,98569,161,205,1065,26
46,100000,98537,157,210,1096,36
47,100000,98500,152,220,1128,42
48,100000,98464,148,236,1152,40
49,100000,98429,140,247,1184,43
50,100000,98392,145,250,1213,32
51,100000,98363,137,256,1244,37
52,100000,98337,127,266,1270,36
53,100000,98308,121,265,1306,35
54,100000,98279,113,260,1348,37
55,100000,98245,118,249,1388,29
56,100000,98218,119,232,1431,26
57,100000,98188,120,229,1463,29
58,100000,98165,114,221,1500,29
59,100000,98133,112,219,1536,34
60,100000,98110,108,211,1571,27
61,100000,98075,113,204,1608,30
62,100000,98044,121,198,1637,23
63,100000,98008,125,204,1663,32
64,100000,97976,134,198,1692,23
65,100000,97935,140,204,1721,35
66,100000,97910,134,201,1755,31
67,100000,97885,123,210,1782,36
68,100000,97851,125,212,1812,32
69,100000,97804,131,230,1835,41
70,100000,97777,133,223,1867,25
71,100000,97741,144,225,1890,25
72,100000,97713,138,224,1925,34
73,100000,97681,123,240,1956,47
74,100000,97651,126,231,1992,27
75,100000,97622,119,235,2024,36
76,100000,97596,117,222,2065,28
77,100000,97558,123,229,2090,32
78,100000,97529,122,234,2115,30
79,100000,97491,131,229,2149,29
80,100000,97458,138,208,2196,26
81,100000,97437,121,219,2223,38
82,100000,97404,125,212,2259,29
83,100000,97372,119,222,2287,38
84,100000,97338,120,223,2319,33
85,100000,97306,131,214,2349,21
86,100000,97277,127,218,2378,33
87,100000,97249,123,224,2404,32
88,100000,97223,115,220,2442,34
89,100000,97197,109,223,2471,32
90,100000,97157,120,214,2509,29
91,100000,97129,120,209,2542,28
92,100000,97102,121,214,2563,26
93,100000,97078,119,207,2596,26
94,100000,97051,106,215,2628,40
95,100000,97025,104,209,2662,28
96,100000,96994,108,204,2694,27
97,100000,96958,120,199,2723,24
98,100000,96929,122,198,2751,27
99,100000,96896,129,198,2777,26
100,100000,96868,126,203,2803,31
101,100000,96833,125,199,2843,36
102,100000,96809,120,200,2871,29
103,100000,96779,117,206,2898,33
104,100000,96758,110,210,2922,28
105,100000,96720,113,218,2949,35
106,100000,96691,118,216,2975,24
107,100000,96669,110,215,3006,30
108,100000,96646,112,200,3042,21
109,100000,96619,101,209,3071,38
110,100000,96592,99,205,3104,29
111,100000,96564,105,199,3132,22
112,100000,96541,105,187,3167,23
113,100000,96503,116,190,3191,27
114,100000,96479,113,187,3221,27
115,100000,96456,108,194,3242,28
116,100000,96430,111,179,3280,23
117,100000,96390,113,188,3309,38
118,100000,96357,122,190,3331,24
119,100000,96326,130,190,3354,23
120,100000,96290,140,189,3381,26
121,100000,96267,123,202,3408,40
122,100000,96238,119,207,3436,33
123,100000,96206,120,215,3459,31
124,100000,96177,113,213,3497,36
125,100000,96140,127,212,3521,23
126,100000,96106,132,218,3544,29
127,100000,96081,125,224,3570,32
128,100000,96057,120,213,3610,29
129,100000,96029,111,217,3643,37
130,100000,95998,108,220,3674,34
131,100000,95972,109,209,3710,25
132,100000,95948,109,210,3733,24
133,100000,95928,101,209,3762,28
134,100000,95905,93,208,3794,31
135,100000,95883,89,205,3823,26
136,100000,95857,91,192,3860,24
137,100000,95832,96,178,3894,20
138,100000,95801,104,176,3919,23
139,100000,95758,125,174,3943,22
140,100000,95732,125,172,3971,26
141,100000,95707,125,166,4002,25
142,100000,95679,122,171,4028,31
143,100000,95648,110,190,4052,43
144,100000,95629,103,196,4072,26
145,100000,95597,110,198,4095,25
146,100000,95575,104,204,4117,28
147,100000,95543,105,209,4143,31
148,100000,95509,120,203,4168,19
149,100000,95472,125,204,4199,32
150,100000,95446,129,183,4242,22
151,100000,95413,130,189,4268,32
152,100000,95387,122,198,4293,34
153,100000,95344,128,207,4321,37
154,100000,95317,129,202,4352,26
155,100000,95279,134,216,4371,33
156,100000,95256,131,210,4403,26
