tick,TotalHumans,Susceptible,Exposed,Infected,Recovered,New Cases per day
1,100000,99997,0,3,0,0
2,100000,99951,46,3,0,0
3,100000,99912,85,3,0,0
4,100000,99880,117,3,0,0
5,100000,99850,147,3,0,0
6,100000,99812,139,49,0,46
7,100000,99775,137,88,0,39
8,100000,99747,133,117,3,32
9,100000,99710,140,147,3,30
10,100000,99674,138,185,3,38
11,100000,99636,139,222,3,37
12,100000,99606,141,250,3,28
13,100000,99570,140,241,49,37
14,100000,99537,137,238,88,36
15,100000,99503,133,244,120,38
16,100000,99471,135,244,150,30
17,100000,99441,129,242,188,36
18,100000,99410,127,238,225,33
19,100000,99378,125,244,253,34
20,100000,99354,117,239,290,32
21,100000,99327,114,233,326,30
22,100000,99298,112,226,364,31
23,100000,99265,113,228,394,32
24,100000,99222,132,216,430,24
25,100000,99179,148,210,463,27
26,100000,99152,146,205,497,29
27,100000,99118,147,206,529,33
28,100000,99085,137,219,559,43
29,100000,99055,124,231,590,43
30,100000,99028,124,226,622,27
31,100000,98999,119,236,646,34
32,100000,98970,115,242,673,33
33,100000,98938,117,243,702,30
34,100000,98905,123,237,735,27
35,100000,98869,130,223,778,29
36,100000,98827,143,209,821,29
37,100000,98798,140,214,848,32
38,100000,98756,149,213,882,33
39,100000,98717,152,216,915,36
40,100000,98686,141,228,945,42
41,100000,98658,140,230,972,29
42,100000,98634,122,243,1001,42
43,100000,98600,117,253,1030,39
44,100000,98566,120,252,1062,31
45,100000,98537,121,247,1095,28
46,100000,98505,129,235,1131,24
47,100000,98475,125,227,1173,34
48,100000,98440,126,232,1202,34
49,100000,98414,123,219,1244,29
50,100000,98376,129,212,1283,32
51,100000,98348,127,211,1314,30
52,100000,98323,117,218,1342,35
53,100000,98292,122,220,1366,26
54,100000,98257,119,224,1400,38
55,100000,98225,123,218,1434,28
56,100000,98210,113,214,1463,25
57,100000,98180,112,213,1495,31
58,100000,98149,108,218,1525,35
59,100000,98119,106,215,1560,32
60,100000,98082,128,204,1586,15
61,100000,98058,122,196,1624,30
62,100000,98032,117,199,1652,31
63,100000,98001,118,204,1677,30
64,100000,97970,112,210,1708,37
65,100000,97933,125,199,1743,24
66,100000,97888,144,193,1775,26
67,100000,97854,147,209,1790,31
68,100000,97828,142,210,1820,31
69,100000,97799,134,216,1851,37
70,100000,97773,115,231,1881,45
71,100000,97734,120,228,1918,34
72,100000,97705,123,230,1942,26
73,100000,97667,132,233,1968,29
74,100000,97637,136,228,1999,26
75,100000,97608,126,236,2030,39
76,100000,97579,126,228,2067,29
77,100000,97547,120,221,2112,38
78,100000,97517,120,217,2146,30
79,100000,97482,126,220,2172,29
80,100000,97449,130,220,2201,29
81,100000,97416,131,226,2227,32
82,100000,97381,136,217,2266,30
83,100000,97351,131,223,2295,35
84,100000,97321,128,218,2333,33
85,100000,97302,114,221,2363,33
86,100000,97275,106,227,2392,35
87,100000,97246,105,228,2421,30
88,100000,97221,100,226,2453,30
89,100000,97190,112,215,2483,19
90,100000,97158,117,207,2518,27
91,100000,97127,119,203,2551,29
92,100000,97096,125,195,2584,25
93,100000,97059,131,191,2619,31
94,100000,97032,126,193,2649,32
95,100000,97003,124,194,2679,31
96,100000,96973,123,206,2698,31
97,100000,96948,111,216,2725,37
98,100000,96916,116,214,2754,27
99,100000,96885,118,218,2779,29
100,100000,96855,118,217,2810,30
101,100000,96823,125,210,2842,25
102,100000,96793,123,211,2873,32
103,100000,96764,121,211,2904,31
104,100000,96739,116,204,2941,30
105,100000,96724,99,209,2968,32
106,100000,96692,101,210,2997,30
107,100000,96651,113,209,3027,29
108,100000,96627,112,209,3052,25
109,100000,96593,131,192,3084,15
110,100000,96558,134,193,3115,32
111,100000,96514,137,204,3145,41
112,100000,96483,144,196,3177,24
113,100000,96456,137,200,3207,34
114,100000,96434,124,206,3236,35
115,100000,96411,103,225,3261,44
116,100000,96379,104,241,3276,31
117,100000,96337,119,236,3308,27
118,100000,96310,124,217,3349,22
119,100000,96279,132,216,3373,23
120,100000,96246,133,214,3407,32
121,100000,96214,123,221,3442,42
122,100000,96183,127,204,3486,27
123,100000,96154,125,204,3517,31
124,100000,96119,127,210,3544,33
125,100000,96098,116,220,3566,32
126,100000,96070,113,228,3589,31
127,100000,96039,115,225,3621,29
128,100000,96014,105,218,3663,35
129,100000,95988,110,212,3690,21
130,100000,95955,115,209,3721,28
131,100000,95936,103,207,3754,31
132,100000,95904,110,200,3786,25
133,100000,95881,107,195,3817,26
