tick,TotalHumans,Susceptible,Exposed,Infected,Recovered,New Cases per day
1,100000,99995,0,5,0,0
2,100000,99943,52,5,0,0
3,100000,99906,89,5,0,0
4,100000,99869,126,5,0,0
5,100000,99842,153,5,0,0
6,100000,99803,140,57,0,52
7,100000,99772,134,94,0,37
8,100000,99726,143,126,5,37
9,100000,99692,150,153,5,27
10,100000,99652,151,192,5,39
11,100000,99623,149,223,5,31
12,100000,99603,123,269,5,46
13,100000,99577,115,251,57,34
14,100000,99555,97,254,94,40
15,100000,99523,100,246,131,29
16,100000,99485,118,239,158,20
17,100000,99441,136,226,197,26
18,100000,99410,145,217,228,22
19,100000,99379,144,203,274,32
20,100000,99353,132,207,308,38
21,100000,99326,115,211,348,44
22,100000,99298,112,213,377,31
23,100000,99262,117,224,397,31
24,100000,99233,120,224,423,26
25,100000,99201,125,229,445,27
26,100000,99169,129,225,477,28
27,100000,99135,127,223,515,36
28,100000,99105,128,208,559,29
29,100000,99077,124,209,590,32
30,100000,99053,116,210,621,32
31,100000,99026,109,218,647,34
32,100000,98989,116,221,674,30
33,100000,98955,122,221,702,28
34,100000,98918,135,209,738,24
35,100000,98890,136,207,767,27
36,100000,98870,119,212,799,37
37,100000,98842,113,214,831,34
38,100000,98812,106,217,865,37
39,100000,98778,112,215,895,28
40,100000,98737,133,207,923,20
41,100000,98703,139,211,947,28
42,100000,98673,139,214,974,30
43,100000,98651,127,211,1011,34
44,100000,98615,122,218,1045,41
45,100000,98587,116,215,1082,34
46,100000,98555,118,217,1110,30
47,100000,98527,124,219,1130,22
48,100000,98503,112,227,1158,36
49,100000,98460,127,225,1188,28
50,100000,98428,127,223,1222,32
51,100000,98396,131,210,1263,28
52,100000,98369,134,200,1297,24
53,100000,98338,122,213,1327,43
54,100000,98295,133,223,1349,32
55,100000,98269,127,219,1385,32
56,100000,98227,142,218,1413,27
57,100000,98194,144,217,1445,31
58,100000,98160,135,232,1473,43
59,100000,98122,147,234,1497,26
60,100000,98094,133,233,1540,42
61,100000,98071,123,234,1572,33
62,100000,98041,119,236,1604,34
63,100000,98008,114,247,1631,38
64,100000,97983,111,244,1662,28
65,100000,97946,125,224,1705,23
66,100000,97908,133,228,1731,30
67,100000,97881,127,219,1773,33
68,100000,97845,138,211,1806,25
69,100000,97804,142,214,1840,37
70,100000,97772,136,214,1878,38
71,100000,97737,144,213,1906,27
72,100000,97713,132,226,1929,36
73,100000,97688,116,237,1959,41
74,100000,97660,112,236,1992,32
75,100000,97639,98,246,2017,35
76,100000,97613,100,233,2054,24
77,100000,97586,102,220,2092,25
78,100000,97564,96,221,2119,28
79,100000,97540,99,206,2155,21
80,100000,97514,99,191,2196,26
81,100000,97484,102,186,2228,27
82,100000,97445,119,173,2263,22
83,100000,97422,118,173,2287,24
84,100000,97404,110,174,2312,26
85,100000,97363,121,176,2340,30
86,100000,97340,105,194,2361,39
87,100000,97308,114,191,2387,23
88,100000,97280,124,182,2414,18
89,100000,97259,104,201,2436,41
90,100000,97233,107,200,2460,23
91,100000,97201,107,206,2486,32
92,100000,97180,100,204,2516,28
93,100000,97149,110,186,2555,21
94,100000,97114,119,189,2578,26
95,100000,97080,121,203,2596,32
96,100000,97052,128,183,2637,21
97,100000,97021,128,191,2660,31
98,100000,96995,119,194,2692,35
99,100000,96965,115,200,2720,34
100,100000,96937,115,207,2741,28
101,100000,96905,116,212,2767,31
102,100000,96879,116,206,2799,26
103,100000,96852,113,215,2820,30
104,100000,96825,112,212,2851,28
105,100000,96794,111,209,2886,32
106,100000,96760,119,201,2920,26
107,100000,96732,120,200,2948,27
108,100000,96703,122,196,2979,27
109,100000,96661,133,201,3005,31
110,100000,96639,121,205,3035,34
111,100000,96613,119,205,3063,28
112,100000,96584,119,202,3095,29
113,100000,96555,106,218,3121,42
114,100000,96532,107,213,3148,22
115,100000,96507,106,212,3175,26
116,100000,96479,105,210,3206,29
117,100000,96453,102,205,3240,29
118,100000,96419,113,200,3268,23
119,100000,96393,114,196,3297,25
120,100000,96366,113,182,3339,28
121,100000,96337,116,186,3361,26
122,100000,96314,105,194,3387,34
123,100000,96286,107,191,3416,26
124,100000,96255,111,189,3445,27
125,100000,96227,110,195,3468,29
126,100000,96200,114,193,3493,23
