tick,TotalHumans,Susceptible,Exposed,Infected,Recovered,New Cases per day
1,100000,99995,0,5,0,0
2,100000,99953,42,5,0,0
3,100000,99908,87,5,0,0
4,100000,99877,118,5,0,0
5,100000,99843,152,5,0,0
6,100000,99805,148,47,0,42
7,100000,99763,145,92,0,45
8,100000,99727,150,118,5,31
9,100000,99698,145,152,5,34
10,100000,99673,132,190,5,38
11,100000,99641,122,232,5,42
12,100000,99619,108,268,5,36
13,100000,99582,116,255,47,29
14,100000,99554,119,235,92,25
15,100000,99518,123,236,123,32
16,100000,99489,130,224,157,22
17,100000,99459,123,223,195,37
18,100000,99427,127,209,237,28
19,100000,99396,122,209,273,36
20,100000,99370,119,209,302,29
21,100000,99336,123,214,327,30
22,100000,99295,132,214,359,32
23,100000,99256,140,223,381,31
24,100000,99210,160,212,418,26
25,100000,99181,155,218,446,34
26,100000,99153,142,223,482,41
27,100000,99116,140,233,511,39
28,100000,99080,130,249,541,46
29,100000,99048,133,246,573,29
30,100000,99016,137,243,604,28
31,100000,98982,134,254,630,37
32,100000,98953,127,256,664,36
33,100000,98922,126,247,705,32
34,100000,98900,116,240,744,32
35,100000,98865,117,228,790,34
36,100000,98837,116,228,819,29
37,100000,98807,115,231,847,31
38,100000,98769,131,216,884,22
39,100000,98735,130,215,920,35
40,100000,98711,126,211,952,28
41,100000,98681,126,209,984,30
42,100000,98643,126,213,1018,38
43,100000,98607,128,218,1047,34
44,100000,98576,135,211,1078,24
45,100000,98542,139,219,1100,30
46,100000,98513,130,222,1135,38
47,100000,98483,124,230,1163,36
48,100000,98450,126,231,1193,31
49,100000,98421,121,227,1231,34
50,100000,98392,121,222,1265,29
51,100000,98360,123,228,1289,30
52,100000,98336,114,231,1319,33
53,100000,98303,118,222,1357,29
54,100000,98272,120,215,1393,29
55,100000,98242,118,216,1424,32
56,100000,98223,113,206,1458,24
57,100000,98191,112,210,1487,33
58,100000,98156,116,211,1517,31
59,100000,98118,124,208,1550,30
60,100000,98092,131,198,1579,19
61,100000,98062,129,201,1608,32
62,100000,98034,122,204,1640,35
63,100000,98004,114,218,1664,38
64,100000,97976,116,211,1697,26
65,100000,97946,116,210,1728,30
66,100000,97911,123,208,1758,28
67,100000,97877,127,219,1777,30
68,100000,97851,125,215,1809,28
69,100000,97813,133,210,1844,30
70,100000,97770,141,207,1882,35
71,100000,97739,138,215,1908,34
72,100000,97712,139,211,1938,26
73,100000,97680,133,221,1966,38
74,100000,97660,110,234,1996,43
75,100000,97628,111,237,2024,31
76,100000,97592,120,234,2054,27
77,100000,97553,127,231,2089,32
78,100000,97530,130,217,2123,20
79,100000,97497,131,223,2149,32
80,100000,97469,123,221,2187,36
81,100000,97448,105,217,2230,39
82,100000,97408,122,209,2261,23
83,100000,97370,127,215,2288,33
84,100000,97335,134,211,2320,28
85,100000,97313,135,212,2340,21
86,100000,97291,117,220,2372,40
